Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term,Loan_Status,Loan_Start_Date
LOAN00080,CUST02562,BR035,Home Loan,7287000.00,9.25,120,Active,2020-03-13
LOAN00081,CUST04709,BR035,Home Loan,9231000.00,9.15,180,Active,2020-08-30
LOAN00082,CUST02947,BR030,Personal Loan,775000.00,11.89,48,Active,2022-06-01
LOAN00083,CUST04669,BR041,Auto Loan,559000.00,9.03,84,Active,2021-12-18
LOAN00084,CUST03712,BR030,Business Loan,6197000.00,13.30,36,Active,2023-10-28
LOAN00085,CUST04715,BR041,Auto Loan,2126000.00,10.89,48,Defaulted,2022-08-22
LOAN00086,CUST01044,BR026,Gold Loan,719000.00,10.86,36,Active,2023-04-06
LOAN00087,CUST02277,BR008,Auto Loan,932000.00,10.10,48,Active,2023-11-06
LOAN00088,CUST02403,BR047,Personal Loan,455000.00,15.07,12,Closed,2021-10-24
LOAN00089,CUST00637,BR045,Business Loan,3256000.00,14.71,84,In Arrears,2021-11-14
LOAN00090,CUST04013,BR050,Business Loan,4256000.00,10.35,120,Active,2023-09-08
LOAN00091,CUST03392,BR036,Home Loan,4455000.00,8.40,300,Active,2022-12-02
LOAN00092,CUST03943,BR018,Personal Loan,1158000.00,15.08,24,Active,2023-03-08
LOAN00093,CUST00686,BR021,Personal Loan,787000.00,16.21,48,Active,2021-12-13
LOAN00094,CUST01842,BR035,Personal Loan,563000.00,13.64,48,Closed,2017-05-14
LOAN00095,CUST02542,BR035,Auto Loan,2085000.00,9.17,60,Active,2020-11-10
LOAN00096,CUST01000,BR018,Auto Loan,1971000.00,10.41,84,Active,2023-10-01
LOAN00097,CUST02032,BR026,Auto Loan,452000.00,8.63,84,Defaulted,2016-05-24
LOAN00098,CUST01570,BR049,Home Loan,8026000.00,7.71,180,Active,2015-09-23
LOAN00099,CUST00052,BR034,Auto Loan,1239000.00,10.14,60,Active,2023-10-16
LOAN00100,CUST00585,BR020,Personal Loan,963000.00,12.25,24,Active,2023-09-04
LOAN00101,CUST02450,BR010,Personal Loan,394000.00,14.30,60,Active,2020-08-06
LOAN00102,CUST04409,BR035,Business Loan,806000.00,13.35,84,Active,2023-05-01
LOAN00103,CUST02897,BR050,Gold Loan,402000.00,11.55,36,Active,2021-12-24
LOAN00104,CUST02389,BR017,Education Loan,980000.00,10.55,60,Closed,2023-04-21
LOAN00105,CUST04771,BR014,Auto Loan,860000.00,8.83,84,Active,2019-04-06
LOAN00106,CUST00967,BR004,Business Loan,6011000.00,10.09,60,Active,2022-03-30
LOAN00107,CUST00258,BR049,Home Loan,7024000.00,7.70,240,Active,2023-03-02
LOAN00108,CUST04793,BR010,Home Loan,7589000.00,9.44,240,Active,2017-11-16
LOAN00109,CUST01794,BR009,Auto Loan,461000.00,9.61,60,In Arrears,2023-11-09
LOAN00110,CUST00697,BR050,Home Loan,6802000.00,7.51,240,Active,2022-08-24
LOAN00111,CUST01714,BR044,Home Loan,2818000.00,7.69,240,Active,2018-11-15
LOAN00112,CUST04422,BR010,Gold Loan,665000.00,9.62,24,Closed,2021-05-20
LOAN00113,CUST04851,BR030,Home Loan,9170000.00,8.06,240,Active,2022-10-24
LOAN00114,CUST01475,BR015,Education Loan,2942000.00,8.19,60,Defaulted,2018-05-01
LOAN00115,CUST00600,BR023,Auto Loan,963000.00,8.89,36,Active,2023-02-14
LOAN00116,CUST03413,BR020,Home Loan,9275000.00,9.17,120,Active,2021-12-11
LOAN00117,CUST04349,BR006,Auto Loan,1864000.00,9.58,36,Closed,2023-10-29
LOAN00118,CUST03515,BR022,Auto Loan,1992000.00,10.37,84,Active,2023-06-09
LOAN00119,CUST02200,BR003,Personal Loan,565000.00,11.88,60,Closed,2020-03-24
LOAN00120,CUST00230,BR010,Business Loan,935000.00,10.32,84,Active,2023-10-22
LOAN00121,CUST02711,BR018,Personal Loan,461000.00,12.42,36,Closed,2020-09-15
LOAN00122,CUST04576,BR024,Personal Loan,729000.00,12.39,12,Closed,2022-10-27
LOAN00123,CUST00672,BR050,Personal Loan,1043000.00,14.70,12,Closed,2022-03-01
LOAN00124,CUST01980,BR049,Personal Loan,559000.00,12.83,36,Active,2023-06-03
LOAN00125,CUST01775,BR018,Home Loan,5942000.00,8.24,240,Active,2018-10-28
LOAN00126,CUST02805,BR027,Gold Loan,321000.00,11.92,12,Closed,2022-12-19
LOAN00127,CUST04243,BR018,Gold Loan,671000.00,10.48,24,Active,2023-01-23
LOAN00128,CUST04151,BR003,Personal Loan,276000.00,13.29,48,Active,2023-05-13
LOAN00129,CUST03302,BR027,Personal Loan,513000.00,15.30,12,Closed,2021-12-20
LOAN00130,CUST01081,BR002,Personal Loan,1057000.00,15.38,48,Active,2022-03-09
LOAN00131,CUST03087,BR034,Auto Loan,262000.00,9.38,48,Closed,2020-01-31
LOAN00132,CUST01090,BR032,Education Loan,708000.00,10.84,120,Closed,2016-11-28
LOAN00133,CUST02164,BR009,Business Loan,5488000.00,12.31,60,Closed,2018-11-29
LOAN00134,CUST04669,BR041,Home Loan,2029000.00,8.56,120,In Arrears,2019-07-11
LOAN00135,CUST00277,BR004,Gold Loan,95000.00,10.09,24,Active,2023-10-24
LOAN00136,CUST01943,BR002,Business Loan,6518000.00,11.46,84,Defaulted,2022-06-30
LOAN00137,CUST00349,BR020,Auto Loan,1803000.00,9.41,60,Active,2023-10-07
LOAN00138,CUST02995,BR020,Auto Loan,1520000.00,8.97,48,Active,2022-05-19
LOAN00139,CUST00931,BR047,Auto Loan,893000.00,8.70,36,Closed,2018-09-04
LOAN00140,CUST02085,BR019,Business Loan,3968000.00,13.62,120,Active,2021-12-18
LOAN00141,CUST02282,BR049,Auto Loan,667000.00,8.80,48,Defaulted,2023-11-20
LOAN00142,CUST04016,BR020,Home Loan,5371000.00,9.45,180,Active,2023-11-08
LOAN00143,CUST03258,BR013,Business Loan,5881000.00,12.69,84,Active,2017-10-27
LOAN00144,CUST01809,BR009,Personal Loan,173000.00,12.45,12,Closed,2021-01-26
LOAN00145,CUST01525,BR011,Personal Loan,324000.00,15.86,36,Active,2022-02-11
LOAN00146,CUST00431,BR011,Home Loan,9020000.00,9.46,120,Closed,2020-03-29
LOAN00147,CUST04420,BR025,Education Loan,1412000.00,9.38,84,Active,2021-04-17
LOAN00148,CUST00101,BR049,Personal Loan,904000.00,15.61,60,Defaulted,2019-06-18
LOAN00149,CUST01612,BR017,Education Loan,397000.00,9.69,84,Defaulted,2018-10-21
LOAN00150,CUST03520,BR024,Personal Loan,546000.00,13.57,12,Active,2023-08-26
LOAN00151,CUST02194,BR005,Home Loan,5534000.00,9.36,300,Active,2023-05-08
LOAN00152,CUST00488,BR004,Home Loan,1540000.00,9.33,180,Active,2021-11-05
LOAN00153,CUST04108,BR001,Home Loan,1855000.00,8.68,120,Active,2022-11-20
LOAN00154,CUST03615,BR031,Gold Loan,632000.00,10.23,24,Active,2022-12-21
LOAN00155,CUST01992,BR036,Home Loan,3288000.00,9.25,240,Active,2023-10-22
LOAN00156,CUST00897,BR016,Home Loan,3219000.00,7.58,300,In Arrears,2022-11-19
LOAN00157,CUST03797,BR045,Personal Loan,627000.00,11.11,36,Defaulted,2018-02-27
LOAN00158,CUST03321,BR028,Home Loan,6517000.00,8.86,240,Active,2023-11-03
LOAN00159,CUST04417,BR011,Gold Loan,605000.00,9.95,24,Active,2023-11-14
LOAN00160,CUST04998,BR033,Home Loan,5019000.00,7.69,180,Active,2023-09-03
LOAN00161,CUST01919,BR021,Home Loan,5400000.00,7.79,240,Closed,2019-04-07
LOAN00162,CUST00374,BR025,Home Loan,8104000.00,8.04,180,Defaulted,2023-03-09
LOAN00163,CUST01507,BR050,Auto Loan,2023000.00,9.82,84,Active,2021-11-09
LOAN00164,CUST00773,BR021,Personal Loan,134000.00,11.37,24,Active,2023-09-08
LOAN00165,CUST01889,BR016,Gold Loan,229000.00,12.04,36,Closed,2018-04-08
LOAN00166,CUST04871,BR004,Home Loan,7101000.00,8.50,300,Active,2022-12-03
LOAN00167,CUST01473,BR008,Home Loan,4219000.00,8.99,240,Active,2020-03-15
LOAN00168,CUST01819,BR034,Personal Loan,358000.00,11.88,36,Active,2022-09-13
LOAN00169,CUST02707,BR014,Auto Loan,1418000.00,8.66,84,Active,2022-01-14
LOAN00170,CUST01364,BR031,Auto Loan,1839000.00,9.15,48,Active,2023-06-08
LOAN00171,CUST00126,BR027,Gold Loan,320000.00,11.49,36,Active,2021-10-07
LOAN00172,CUST04988,BR007,Personal Loan,301000.00,13.79,12,Closed,2022-07-23
LOAN00173,CUST00910,BR043,Business Loan,6647000.00,10.01,60,Closed,2017-12-22
LOAN00174,CUST01560,BR042,Personal Loan,447000.00,15.19,48,Active,2021-02-13
LOAN00175,CUST04920,BR020,Personal Loan,181000.00,14.12,12,Closed,2022-08-26
LOAN00176,CUST00242,BR033,Education Loan,2431000.00,10.99,60,Active,2021-04-05
LOAN00177,CUST02987,BR009,Gold Loan,670000.00,12.16,24,Active,2023-10-05
LOAN00178,CUST03089,BR031,Home Loan,8333000.00,8.10,180,Active,2023-09-18
LOAN00179,CUST04727,BR013,Personal Loan,826000.00,12.47,60,Active,2021-12-13
LOAN00180,CUST00176,BR018,Auto Loan,980000.00,11.48,48,Defaulted,2021-05-23
LOAN00181,CUST03967,BR031,Education Loan,1435000.00,8.32,84,Closed,2019-08-09
LOAN00182,CUST04447,BR037,Home Loan,3324000.00,8.99,120,Active,2019-07-31
LOAN00183,CUST01369,BR012,Personal Loan,282000.00,12.19,60,Active,2021-10-19
LOAN00184,CUST04518,BR033,Business Loan,1670000.00,10.60,60,Active,2022-11-11
LOAN00185,CUST04648,BR001,Personal Loan,649000.00,11.11,60,Active,2023-06-09
LOAN00186,CUST02240,BR008,Auto Loan,881000.00,10.07,60,Active,2022-06-14
LOAN00187,CUST00780,BR009,Personal Loan,233000.00,12.18,60,Active,2021-12-27
LOAN00188,CUST00314,BR013,Business Loan,1901000.00,14.05,36,In Arrears,2023-04-12
LOAN00189,CUST02041,BR029,Business Loan,7021000.00,10.95,36,Active,2023-03-29
LOAN00190,CUST02282,BR049,Education Loan,1847000.00,9.64,84,Active,2023-10-29
LOAN00191,CUST01260,BR006,Auto Loan,1898000.00,8.86,36,Closed,2019-05-18
LOAN00192,CUST00722,BR009,Gold Loan,321000.00,9.04,12,Closed,2022-08-15
LOAN00193,CUST00676,BR012,Personal Loan,1067000.00,11.67,60,Active,2023-09-04
LOAN00194,CUST03676,BR032,Education Loan,2769000.00,8.74,120,Active,2021-08-27
LOAN00195,CUST02420,BR048,Business Loan,1419000.00,14.38,36,Active,2023-08-24
LOAN00196,CUST00019,BR034,Auto Loan,1592000.00,9.42,36,Active,2023-11-08
LOAN00197,CUST04021,BR007,Personal Loan,872000.00,11.44,24,Closed,2022-08-16
LOAN00198,CUST00222,BR021,Home Loan,6567000.00,9.24,300,Active,2019-12-16
LOAN00199,CUST04446,BR040,Home Loan,4640000.00,8.11,300,Active,2022-01-29
LOAN00200,CUST04799,BR014,Home Loan,6357000.00,8.77,240,Active,2022-12-09
LOAN00201,CUST03610,BR045,Home Loan,3979000.00,8.21,240,Active,2022-01-16
LOAN00202,CUST00284,BR042,Personal Loan,1040000.00,12.07,48,Defaulted,2020-04-16
LOAN00203,CUST00098,BR004,Gold Loan,725000.00,9.79,24,Active,2023-10-20
LOAN00204,CUST00207,BR039,Personal Loan,617000.00,13.74,48,Active,2020-10-12
LOAN00205,CUST00263,BR020,Personal Loan,1114000.00,16.10,12,Closed,2020-09-19
LOAN00206,CUST02761,BR025,Personal Loan,482000.00,11.80,48,Active,2023-04-09
LOAN00207,CUST04095,BR029,Personal Loan,791000.00,16.15,24,Closed,2021-06-26
LOAN00208,CUST02377,BR032,Personal Loan,1001000.00,11.68,60,Closed,2018-07-27
LOAN00209,CUST02390,BR019,Home Loan,3279000.00,7.59,180,Active,2021-04-05
LOAN00210,CUST01969,BR001,Home Loan,4704000.00,9.19,180,Active,2017-08-31
LOAN00211,CUST04732,BR001,Business Loan,6839000.00,13.32,120,Closed,2023-03-16
LOAN00212,CUST01085,BR015,Personal Loan,1103000.00,16.43,36,Active,2023-03-26
LOAN00213,CUST02721,BR013,Personal Loan,806000.00,14.68,60,Closed,2022-09-29
LOAN00214,CUST00671,BR019,Personal Loan,1156000.00,14.20,48,Active,2023-08-20
LOAN00215,CUST02756,BR041,Personal Loan,810000.00,12.70,60,Active,2021-09-27
LOAN00216,CUST01200,BR011,Auto Loan,378000.00,10.14,84,Active,2023-10-03
LOAN00217,CUST02508,BR036,Auto Loan,1790000.00,9.70,36,Closed,2017-12-28
LOAN00218,CUST00011,BR001,Home Loan,9442000.00,8.11,180,Active,2023-10-08
LOAN00219,CUST00954,BR012,Home Loan,7251000.00,7.77,120,Active,2021-08-03
LOAN00220,CUST04079,BR027,Education Loan,1282000.00,10.27,120,Active,2019-12-22
LOAN00221,CUST04708,BR017,Personal Loan,116000.00,11.76,24,Defaulted,2019-01-12
LOAN00222,CUST02532,BR012,Personal Loan,1035000.00,13.95,24,Defaulted,2019-10-15
LOAN00223,CUST04628,BR021,Home Loan,2861000.00,8.31,240,Active,2019-01-14
LOAN00224,CUST04872,BR050,Education Loan,1387000.00,10.67,60,Active,2023-10-20
LOAN00225,CUST02442,BR004,Home Loan,1574000.00,9.00,240,Closed,2022-04-18
LOAN00226,CUST01579,BR041,Auto Loan,594000.00,9.84,84,Closed,2022-07-11
LOAN00227,CUST03608,BR034,Personal Loan,457000.00,13.92,24,Closed,2021-02-08
LOAN00228,CUST02230,BR005,Education Loan,2376000.00,10.62,60,Closed,2019-11-07
LOAN00229,CUST02285,BR047,Personal Loan,675000.00,16.31,36,Active,2022-07-16
LOAN00230,CUST00917,BR006,Home Loan,2085000.00,7.54,240,Active,2023-06-04
LOAN00231,CUST03193,BR045,Education Loan,2585000.00,9.60,120,In Arrears,2022-05-26
LOAN00232,CUST01749,BR016,Personal Loan,232000.00,12.28,60,Closed,2019-07-12
LOAN00233,CUST00168,BR019,Education Loan,256000.00,10.41,60,Closed,2018-01-26
LOAN00234,CUST02304,BR039,Personal Loan,801000.00,14.36,48,Active,2021-11-04
LOAN00235,CUST04942,BR037,Personal Loan,636000.00,11.20,36,Defaulted,2019-12-17
LOAN00236,CUST02084,BR032,Personal Loan,1179000.00,14.40,36,Active,2022-10-26
LOAN00237,CUST04703,BR038,Personal Loan,99000.00,11.82,36,Active,2023-06-16
LOAN00238,CUST00441,BR040,Personal Loan,1053000.00,13.85,24,Active,2022-10-30
LOAN00239,CUST03839,BR036,Education Loan,1927000.00,9.34,60,Active,2023-07-12
LOAN00240,CUST02271,BR047,Personal Loan,551000.00,12.54,12,Closed,2021-06-16
LOAN00241,CUST02270,BR004,Home Loan,4412000.00,8.68,240,Active,2018-07-03
LOAN00242,CUST04484,BR032,Gold Loan,348000.00,11.75,36,Closed,2019-12-15
LOAN00243,CUST00578,BR036,Personal Loan,1032000.00,15.30,12,Closed,2017-08-20
LOAN00244,CUST00299,BR024,Auto Loan,772000.00,9.16,36,Closed,2020-12-29
LOAN00245,CUST02429,BR017,Personal Loan,877000.00,14.48,24,Active,2023-11-11
LOAN00246,CUST00535,BR022,Personal Loan,60000.00,14.70,12,Closed,2023-06-25
LOAN00247,CUST02852,BR014,Personal Loan,466000.00,12.05,48,Active,2023-09-16
LOAN00248,CUST04168,BR043,Personal Loan,364000.00,15.70,36,Active,2021-08-18
LOAN00249,CUST01303,BR036,Personal Loan,894000.00,14.58,24,Active,2022-11-25
LOAN00250,CUST02960,BR007,Education Loan,3461000.00,10.51,60,Closed,2023-06-14
LOAN00251,CUST01155,BR003,Home Loan,8172000.00,8.32,300,Active,2021-06-28
LOAN00252,CUST04135,BR020,Auto Loan,1431000.00,9.60,60,Active,2023-04-29
LOAN00253,CUST04710,BR039,Personal Loan,1158000.00,15.67,24,Active,2023-04-17
LOAN00254,CUST03859,BR023,Personal Loan,603000.00,15.36,24,Closed,2021-03-09
LOAN00255,CUST04043,BR035,Personal Loan,772000.00,13.62,60,Active,2022-06-02
LOAN00256,CUST00765,BR036,Home Loan,5725000.00,8.58,300,Defaulted,2021-05-23
LOAN00257,CUST04581,BR025,Business Loan,1473000.00,12.03,60,Closed,2019-01-01
LOAN00258,CUST03254,BR005,Auto Loan,1386000.00,10.20,84,Active,2023-11-28
LOAN00259,CUST04912,BR002,Business Loan,2539000.00,14.08,84,Active,2022-11-21
LOAN00260,CUST00850,BR003,Business Loan,1243000.00,11.92,36,Active,2023-11-10
LOAN00261,CUST00759,BR046,Gold Loan,684000.00,11.28,12,Closed,2017-02-27
LOAN00262,CUST02299,BR031,Personal Loan,452000.00,11.14,48,Active,2021-02-13
LOAN00263,CUST00301,BR001,Business Loan,6082000.00,14.48,60,Active,2020-03-26
LOAN00264,CUST03740,BR015,Home Loan,7556000.00,8.60,240,Defaulted,2021-04-23
LOAN00265,CUST00728,BR008,Personal Loan,928000.00,13.12,60,Closed,2015-05-05
LOAN00266,CUST02640,BR012,Personal Loan,87000.00,12.21,12,Active,2023-09-01
LOAN00267,CUST04628,BR021,Personal Loan,732000.00,16.48,48,Closed,2020-10-17
LOAN00268,CUST01932,BR002,Home Loan,7967000.00,8.84,240,Active,2021-10-14
LOAN00269,CUST04189,BR044,Personal Loan,462000.00,14.27,12,Closed,2021-08-16
LOAN00270,CUST02417,BR034,Personal Loan,954000.00,11.62,60,Active,2022-08-14
LOAN00271,CUST00637,BR045,Personal Loan,174000.00,15.65,48,Active,2023-08-09
LOAN00272,CUST01250,BR030,Home Loan,3200000.00,7.71,300,In Arrears,2023-06-01
LOAN00273,CUST01679,BR027,Education Loan,2950000.00,10.15,120,Active,2017-09-03
LOAN00274,CUST00972,BR043,Home Loan,6784000.00,9.10,180,Active,2021-12-07
LOAN00275,CUST01999,BR047,Business Loan,6380000.00,10.30,36,Closed,2019-03-31
LOAN00276,CUST02187,BR005,Auto Loan,800000.00,9.89,84,Active,2023-03-24
LOAN00277,CUST00441,BR040,Business Loan,6726000.00,13.25,120,Closed,2020-08-18
LOAN00278,CUST03741,BR031,Auto Loan,1120000.00,8.73,84,Active,2017-11-01
LOAN00279,CUST02387,BR015,Home Loan,2194000.00,8.40,180,Active,2019-10-26
LOAN00280,CUST02947,BR030,Home Loan,1689000.00,9.09,180,Active,2019-05-18
LOAN00281,CUST02868,BR027,Personal Loan,955000.00,16.30,36,Closed,2020-04-01
LOAN00282,CUST01629,BR022,Personal Loan,1037000.00,11.56,12,Closed,2016-10-24
LOAN00283,CUST02730,BR042,Home Loan,7626000.00,8.26,120,Closed,2023-03-15
LOAN00284,CUST04066,BR015,Education Loan,3373000.00,8.89,84,Active,2021-07-14
LOAN00285,CUST04573,BR014,Home Loan,8550000.00,8.76,120,Closed,2016-02-15
LOAN00286,CUST04594,BR013,Auto Loan,802000.00,9.15,60,Active,2023-04-12
LOAN00287,CUST01507,BR050,Home Loan,5536000.00,8.71,180,Active,2016-03-10
LOAN00288,CUST01442,BR035,Home Loan,2615000.00,9.10,300,Active,2023-11-27
LOAN00289,CUST02798,BR048,Home Loan,6557000.00,8.61,240,Active,2023-07-31
LOAN00290,CUST00184,BR026,Home Loan,9041000.00,8.01,300,Active,2021-11-12
LOAN00291,CUST00872,BR039,Home Loan,6081000.00,8.48,180,Active,2022-09-06
LOAN00292,CUST02952,BR026,Home Loan,1581000.00,8.96,300,Active,2023-09-03
LOAN00293,CUST03456,BR001,Auto Loan,927000.00,8.90,48,Active,2020-10-23
LOAN00294,CUST02037,BR031,Personal Loan,363000.00,16.43,60,Active,2023-09-07
LOAN00295,CUST00522,BR008,Auto Loan,1985000.00,11.11,60,Closed,2019-09-14
LOAN00296,CUST00546,BR007,Auto Loan,1118000.00,11.04,60,Closed,2018-02-10
LOAN00297,CUST02036,BR015,Personal Loan,115000.00,13.78,60,Active,2019-11-06
LOAN00298,CUST04164,BR002,Business Loan,6135000.00,10.63,84,Active,2022-07-09
LOAN00299,CUST03665,BR038,Home Loan,5071000.00,8.20,300,Defaulted,2022-10-05
LOAN00300,CUST02902,BR031,Home Loan,3484000.00,7.89,120,Active,2022-05-20
LOAN00301,CUST02993,BR020,Home Loan,7604000.00,9.31,120,Active,2022-09-04
LOAN00302,CUST01443,BR004,Home Loan,5340000.00,8.87,180,Active,2016-10-08
