Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Amount,Channel,Transaction_Status
TXN0101684,ACC003636,2016-12-05,Withdrawal,32561.59,UPI,Success
TXN0000466,ACC003636,2016-12-06,Deposit,31545.22,Net Banking,Success
TXN0059306,ACC001566,2016-12-06,Transfer,2074.10,UPI,Success
TXN0020390,ACC003759,2016-12-13,Deposit,48507.17,IMPS,Success
TXN0073630,ACC004339,2016-12-13,Deposit,269.80,UPI,Success
TXN0013486,ACC000896,2016-12-14,Deposit,5057.52,UPI,Success
TXN0045355,ACC001062,2016-12-14,Withdrawal,32177.21,Mobile Banking,Failed
TXN0055721,ACC004096,2016-12-14,Transfer,2893.24,Net Banking,Pending
TXN0084088,ACC004922,2016-12-14,Withdrawal,3000.00,ATM,Success
TXN0075739,ACC003906,2016-12-16,Withdrawal,25249.44,Net Banking,Success
TXN0102299,ACC001466,2016-12-16,Withdrawal,175131.68,NEFT,Success
TXN0032581,ACC000156,2016-12-17,Withdrawal,3259.15,UPI,Success
TXN0051744,ACC000896,2016-12-18,Withdrawal,3771.85,UPI,Success
TXN0057585,ACC000660,2016-12-18,Withdrawal,5000.00,ATM,Success
TXN0104085,ACC006358,2016-12-18,Transfer,26127.01,Mobile Banking,Success
TXN0101679,ACC001885,2016-12-19,Deposit,32929.91,Net Banking,Success
TXN0006859,ACC000260,2016-12-20,Withdrawal,14614.68,Net Banking,Success
TXN0086196,ACC003671,2016-12-20,Withdrawal,235384.60,IMPS,Success
TXN0044475,ACC001566,2016-12-22,Deposit,7328.11,UPI,Success
TXN0028036,ACC006215,2016-12-23,Deposit,197914.11,NEFT,Success
TXN0075827,ACC006215,2016-12-31,Withdrawal,10000.00,ATM,Success
TXN0089237,ACC003529,2016-12-31,Deposit,716.44,UPI,Success
TXN0096572,ACC002588,2016-12-31,Withdrawal,5000.00,ATM,Success
TXN0007364,ACC003959,2017-01-01,Deposit,89809.50,IMPS,Success
TXN0071459,ACC000896,2017-01-01,Withdrawal,500.00,ATM,Success
TXN0017275,ACC001781,2017-01-02,Withdrawal,500.00,ATM,Success
TXN0051185,ACC001239,2017-01-02,Withdrawal,46449.97,UPI,Success
TXN0040028,ACC002413,2017-01-03,Withdrawal,36023.57,UPI,Success
TXN0012872,ACC002909,2017-01-04,Withdrawal,3000.00,ATM,Success
TXN0068627,ACC006786,2017-01-04,Withdrawal,781.29,UPI,Success
TXN0064597,ACC006257,2017-01-06,Withdrawal,21834.35,Net Banking,Success
TXN0002008,ACC000968,2017-01-07,Withdrawal,237.77,UPI,Success
TXN0034530,ACC002462,2017-01-09,Withdrawal,944.37,UPI,Success
TXN0053366,ACC002981,2017-01-10,Withdrawal,2895.01,UPI,Success
TXN0076508,ACC002148,2017-01-11,Withdrawal,16166.80,Net Banking,Success
TXN0002475,ACC006358,2017-01-12,Deposit,17432.02,Mobile Banking,Success
TXN0034948,ACC003906,2017-01-12,Withdrawal,15490.77,POS / Debit Card,Success
TXN0053353,ACC004333,2017-01-13,Withdrawal,3037.59,UPI,Success
TXN0075989,ACC005545,2017-01-13,Transfer,20811.64,Mobile Banking,Success
TXN0088356,ACC000035,2017-01-13,Withdrawal,3587.57,Net Banking,Success
TXN0093292,ACC002608,2017-01-13,Deposit,161800.36,IMPS,Success
TXN0016067,ACC004027,2017-01-14,Deposit,25677.29,Net Banking,Success
TXN0005731,ACC001247,2017-01-15,Deposit,175517.71,NEFT,Success
TXN0086798,ACC003614,2017-01-17,Withdrawal,246428.10,IMPS,Success
TXN0063967,ACC001885,2017-01-18,Withdrawal,5000.00,ATM,Success
TXN0020272,ACC004333,2017-01-19,Deposit,57197.50,NEFT,Failed
TXN0039175,ACC000896,2017-01-19,Withdrawal,204098.57,IMPS,Failed
TXN0012443,ACC006258,2017-01-25,Deposit,212268.44,IMPS,Success
TXN0053643,ACC004289,2017-01-29,Withdrawal,685.58,UPI,Success
TXN0071298,ACC001201,2017-01-29,Withdrawal,4459.08,UPI,Success
TXN0073593,ACC000061,2017-01-29,Deposit,392.22,UPI,Success
TXN0029819,ACC001466,2017-01-30,Withdrawal,2260.45,UPI,Success
TXN0008106,ACC004166,2017-01-31,Deposit,26027.94,Mobile Banking,Success
TXN0016292,ACC000156,2017-02-03,Withdrawal,8422.72,UPI,Success
TXN0059579,ACC006543,2017-02-05,Withdrawal,64606.53,NEFT,Success
TXN0002473,ACC003359,2017-02-06,Deposit,5882.15,UPI,Success
TXN0082054,ACC003676,2017-02-06,Deposit,12347.36,Net Banking,Success
TXN0035552,ACC000526,2017-02-07,Withdrawal,23070.26,Mobile Banking,Success
TXN0087917,ACC004351,2017-02-07,Deposit,28850.03,Mobile Banking,Success
TXN0011309,ACC004096,2017-02-08,Transfer,183986.29,Branch,Success
TXN0015183,ACC001088,2017-02-08,Withdrawal,566.17,UPI,Success
TXN0086852,ACC002448,2017-02-09,Withdrawal,1169.71,UPI,Success
TXN0008694,ACC000126,2017-02-12,Deposit,7726.93,UPI,Success
TXN0085848,ACC002489,2017-02-13,Transfer,219224.64,IMPS,Success
TXN0039511,ACC004743,2017-02-14,Withdrawal,17257.13,UPI,Success
TXN0099940,ACC003741,2017-02-14,Transfer,14179.22,Net Banking,Success
TXN0026599,ACC004027,2017-02-15,Withdrawal,8953.30,Mobile Banking,Success
TXN0077150,ACC003636,2017-02-15,Withdrawal,4500.00,ATM,Success
TXN0013629,ACC001541,2017-02-16,Withdrawal,2000.00,ATM,Success
TXN0001966,ACC001450,2017-02-17,Withdrawal,2445.07,UPI,Success
TXN0047131,ACC002909,2017-02-19,Withdrawal,7956.53,UPI,Success
TXN0005468,ACC005737,2017-02-20,Deposit,1309.01,UPI,Success
TXN0054093,ACC002982,2017-02-22,Withdrawal,9934.74,Net Banking,Success
TXN0069510,ACC006613,2017-02-22,Withdrawal,5943.71,UPI,Success
TXN0020571,ACC002448,2017-02-23,Withdrawal,398.49,UPI,Success
TXN0095975,ACC003215,2017-02-25,Withdrawal,8000.00,ATM,Success
TXN0063121,ACC004010,2017-02-27,Deposit,5180.78,UPI,Success
TXN0059759,ACC000153,2017-02-28,Withdrawal,7955.54,Net Banking,Success
TXN0068395,ACC004211,2017-02-28,Withdrawal,15339.80,Net Banking,Failed
TXN0024471,ACC003317,2017-03-02,Deposit,23784.80,Mobile Banking,Success
TXN0061904,ACC002489,2017-03-03,Withdrawal,11303.89,Net Banking,Success
TXN0062799,ACC001557,2017-03-03,Withdrawal,21927.50,Net Banking,Success
TXN0074463,ACC004014,2017-03-03,Deposit,20903.97,UPI,Success
TXN0104709,ACC003557,2017-03-04,Transfer,458.19,UPI,Success
TXN0019384,ACC004915,2017-03-05,Withdrawal,8000.00,ATM,Pending
TXN0080751,ACC004609,2017-03-05,Deposit,304.37,UPI,Success
TXN0003417,ACC003250,2017-03-06,Withdrawal,30307.13,Mobile Banking,Success
TXN0017981,ACC001727,2017-03-06,Withdrawal,3000.00,ATM,Success
TXN0035663,ACC002982,2017-03-06,Withdrawal,50524.12,NEFT,Success
TXN0104428,ACC006215,2017-03-09,Withdrawal,110612.73,IMPS,Success
TXN0096509,ACC000326,2017-03-10,Deposit,32813.29,Net Banking,Success
TXN0038173,ACC000717,2017-03-11,Withdrawal,3000.00,ATM,Success
TXN0089732,ACC002909,2017-03-11,Deposit,820.19,UPI,Success
TXN0068242,ACC002538,2017-03-13,Withdrawal,42018.25,UPI,Success
TXN0067957,ACC005238,2017-03-14,Deposit,2493.75,UPI,Success
TXN0078292,ACC000330,2017-03-14,Withdrawal,111622.15,NEFT,Success
TXN0100963,ACC004166,2017-03-16,Transfer,6028.15,Net Banking,Success
TXN0063159,ACC003779,2017-03-21,Withdrawal,159169.26,IMPS,Success
TXN0023405,ACC001104,2017-03-22,Withdrawal,10000.00,ATM,Success
TXN0048882,ACC006271,2017-03-23,Transfer,16347.72,POS / Debit Card,Success
TXN0094558,ACC001140,2017-03-24,Withdrawal,96966.63,IMPS,Success
TXN0011567,ACC006258,2017-03-25,Withdrawal,21355.14,Net Banking,Success
TXN0017341,ACC001137,2017-03-25,Withdrawal,404415.89,Branch,Success
TXN0045615,ACC001815,2017-03-25,Withdrawal,33275.73,Mobile Banking,Success
TXN0077605,ACC002982,2017-03-25,Withdrawal,3000.00,ATM,Success
TXN0082930,ACC000381,2017-03-25,Withdrawal,207768.44,IMPS,Success
TXN0010718,ACC005238,2017-03-26,Withdrawal,541.01,UPI,Failed
TXN0067735,ACC002538,2017-03-28,Deposit,2837.28,UPI,Success
TXN0095036,ACC004530,2017-03-28,Deposit,116143.67,NEFT,Success
TXN0018281,ACC004289,2017-03-29,Withdrawal,864.55,UPI,Success
TXN0069759,ACC001134,2017-03-30,Withdrawal,2079.12,UPI,Success
TXN0070929,ACC006613,2017-03-31,Withdrawal,379.90,UPI,Success
TXN0006761,ACC005009,2017-04-02,Withdrawal,12117.30,Net Banking,Success
TXN0045983,ACC000113,2017-04-03,Withdrawal,8696.80,Mobile Banking,Success
TXN0088974,ACC005970,2017-04-03,Withdrawal,29666.67,Mobile Banking,Success
TXN0101058,ACC005737,2017-04-03,Withdrawal,14643.20,Net Banking,Success
TXN0100097,ACC002413,2017-04-04,Deposit,31132.85,Net Banking,Success
TXN0021991,ACC005995,2017-04-06,Withdrawal,33173.57,Mobile Banking,Success
TXN0034013,ACC005995,2017-04-07,Withdrawal,12283.55,Net Banking,Success
TXN0084203,ACC004839,2017-04-08,Withdrawal,7338.19,UPI,Success
TXN0024513,ACC003741,2017-04-09,Withdrawal,389.20,UPI,Pending
TXN0075543,ACC004158,2017-04-09,Withdrawal,5000.00,ATM,Success
TXN0015353,ACC001557,2017-04-10,Deposit,60063.32,NEFT,Failed
TXN0099036,ACC006883,2017-04-10,Deposit,4616.45,Mobile Banking,Success
TXN0004357,ACC002569,2017-04-12,Transfer,2779.45,Mobile Banking,Success
TXN0076263,ACC003280,2017-04-13,Withdrawal,17714.53,Net Banking,Success
TXN0018202,ACC003122,2017-04-14,Withdrawal,1000.00,ATM,Success
TXN0018306,ACC000526,2017-04-14,Transfer,193.75,UPI,Success
TXN0024270,ACC004339,2017-04-15,Withdrawal,8000.00,ATM,Success
TXN0068283,ACC003969,2017-04-17,Withdrawal,1000.00,ATM,Success
TXN0073903,ACC003676,2017-04-18,Withdrawal,19991.15,Mobile Banking,Success
TXN0017040,ACC004193,2017-04-19,Deposit,593.67,UPI,Success
TXN0030574,ACC003317,2017-04-21,Deposit,823.38,UPI,Success
TXN0031943,ACC000896,2017-04-21,Deposit,22349.25,POS / Debit Card,Success
TXN0071676,ACC003759,2017-04-21,Transfer,193034.22,NEFT,Success
TXN0082556,ACC003529,2017-04-21,Withdrawal,9779.82,UPI,Success
TXN0102706,ACC004010,2017-04-21,Withdrawal,10000.00,ATM,Success
TXN0004837,ACC005238,2017-04-23,Deposit,7896.13,Net Banking,Success
TXN0031400,ACC000061,2017-04-23,Withdrawal,176.89,UPI,Success
TXN0059275,ACC005009,2017-04-23,Deposit,109236.44,NEFT,Success
TXN0092945,ACC004351,2017-04-23,Withdrawal,464.94,UPI,Success
TXN0071169,ACC001201,2017-04-24,Deposit,31542.61,Net Banking,Success
TXN0098702,ACC002148,2017-04-25,Withdrawal,4643.31,Net Banking,Success
TXN0097809,ACC005988,2017-04-28,Withdrawal,98454.53,NEFT,Success
TXN0093932,ACC002557,2017-04-29,Deposit,9296.74,UPI,Success
TXN0003661,ACC006786,2017-05-01,Withdrawal,141383.94,NEFT,Success
TXN0015617,ACC001393,2017-05-03,Withdrawal,5751.13,UPI,Success
TXN0045957,ACC001749,2017-05-03,Withdrawal,500.00,ATM,Success
TXN0016474,ACC002028,2017-05-06,Withdrawal,32377.22,Mobile Banking,Success
TXN0022890,ACC001362,2017-05-07,Deposit,27237.68,Net Banking,Success
TXN0011622,ACC001104,2017-05-08,Deposit,7010.03,UPI,Success
TXN0087008,ACC000869,2017-05-08,Transfer,934.43,UPI,Success
TXN0023565,ACC000526,2017-05-10,Withdrawal,10670.91,Net Banking,Success
TXN0098274,ACC000869,2017-05-10,Withdrawal,308583.03,Branch,Success
TXN0058723,ACC002010,2017-05-12,Withdrawal,2000.00,ATM,Success
TXN0022340,ACC004922,2017-05-14,Deposit,7807.70,UPI,Success
TXN0090395,ACC006786,2017-05-14,Transfer,773.12,UPI,Success
TXN0053304,ACC001749,2017-05-15,Transfer,318.84,UPI,Success
TXN0030540,ACC003317,2017-05-16,Withdrawal,101.73,UPI,Success
TXN0053340,ACC000381,2017-05-16,Withdrawal,179.09,UPI,Success
TXN0071196,ACC003007,2017-05-17,Withdrawal,34227.87,Mobile Banking,Success
TXN0089060,ACC005009,2017-05-20,Withdrawal,198.99,UPI,Success
TXN0092821,ACC002099,2017-05-24,Withdrawal,5734.30,Mobile Banking,Success
TXN0010812,ACC002028,2017-05-25,Withdrawal,3000.00,ATM,Success
TXN0078088,ACC005953,2017-05-25,Transfer,3094.96,UPI,Success
TXN0084245,ACC006271,2017-05-25,Withdrawal,500.00,ATM,Success
TXN0061663,ACC004773,2017-05-26,Deposit,221.74,UPI,Success
TXN0083236,ACC005144,2017-05-27,Deposit,145.53,UPI,Success
TXN0037457,ACC000470,2017-05-29,Withdrawal,953.07,Mobile Banking,Success
TXN0028467,ACC004743,2017-05-31,Deposit,627.38,UPI,Success
TXN0043228,ACC006230,2017-05-31,Withdrawal,673.91,UPI,Success
TXN0043808,ACC000882,2017-06-02,Deposit,9917.47,Mobile Banking,Success
TXN0082100,ACC000153,2017-06-02,Withdrawal,155400.23,NEFT,Success
TXN0088465,ACC004333,2017-06-02,Deposit,11639.24,Mobile Banking,Success
TXN0017346,ACC003741,2017-06-03,Withdrawal,29107.35,Mobile Banking,Success
TXN0047083,ACC001137,2017-06-03,Withdrawal,541.49,UPI,Success
TXN0073198,ACC002227,2017-06-04,Deposit,10080.81,Mobile Banking,Failed
TXN0000331,ACC003746,2017-06-05,Withdrawal,37138.66,NEFT,Success
TXN0028541,ACC002163,2017-06-07,Withdrawal,163880.19,IMPS,Success
TXN0009023,ACC000326,2017-06-08,Withdrawal,3000.00,ATM,Success
TXN0033894,ACC001467,2017-06-10,Withdrawal,5000.00,ATM,Success
TXN0067058,ACC004351,2017-06-11,Transfer,124808.27,NEFT,Success
TXN0053579,ACC003633,2017-06-12,Deposit,15653.67,Net Banking,Success
TXN0057368,ACC003075,2017-06-12,Deposit,160573.87,NEFT,Success
TXN0010953,ACC000268,2017-06-13,Withdrawal,469.16,UPI,Success
TXN0012229,ACC005602,2017-06-13,Withdrawal,10000.00,ATM,Success
TXN0054250,ACC002977,2017-06-14,Transfer,23000.15,Mobile Banking,Success
TXN0002175,ACC006358,2017-06-16,Withdrawal,4500.00,ATM,Success
TXN0008390,ACC002478,2017-06-16,Withdrawal,4056.42,UPI,Success
TXN0016042,ACC005602,2017-06-16,Withdrawal,19274.74,Mobile Banking,Success
