Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Payment_Status
PAY0014633,LOAN00551,2016-02-16,8203.74,Paid
PAY0073628,LOAN02791,2016-02-16,3806.67,Paid
PAY0009870,LOAN00384,2016-02-17,30949.41,Paid
PAY0018180,LOAN00686,2016-02-18,68974.11,Paid
PAY0055464,LOAN02116,2016-02-20,72585.82,Paid
PAY0064935,LOAN02480,2016-02-20,15926.81,Paid
PAY0052386,LOAN01994,2016-02-24,69522.34,Paid
PAY0016070,LOAN00601,2016-02-27,31555.27,Paid
PAY0002356,LOAN00098,2016-02-28,75363.02,Paid
PAY0049238,LOAN01865,2016-03-01,18967.81,Paid
PAY0072344,LOAN02747,2016-03-01,33521.38,Late
PAY0059634,LOAN02280,2016-03-03,22587.57,Paid
PAY0006599,LOAN00265,2016-03-05,21171.90,Paid
PAY0012888,LOAN00491,2016-03-06,154016.57,Paid
PAY0025353,LOAN00948,2016-03-06,36610.24,Paid
PAY0033645,LOAN01279,2016-03-06,33084.95,Paid
PAY0063372,LOAN02413,2016-03-06,73019.08,Paid
PAY0067891,LOAN02581,2016-03-06,24281.21,Paid
PAY0055134,LOAN02102,2016-03-07,18386.06,Paid
PAY0066390,LOAN02529,2016-03-08,19261.14,Paid
PAY0007404,LOAN00287,2016-03-10,55198.78,Paid
PAY0034723,LOAN01312,2016-03-10,6630.76,Paid
PAY0014634,LOAN00551,2016-03-12,8203.74,Paid
PAY0025663,LOAN00960,2016-03-12,11315.73,Paid
PAY0073629,LOAN02791,2016-03-14,3806.67,Paid
PAY0018181,LOAN00686,2016-03-15,68974.11,Paid
PAY0007291,LOAN00285,2016-03-17,107200.38,Paid
PAY0052387,LOAN01994,2016-03-19,69522.34,Paid
PAY0055465,LOAN02116,2016-03-19,72585.82,Paid
PAY0009871,LOAN00384,2016-03-20,30949.41,Paid
PAY0057174,LOAN02185,2016-03-22,71857.79,Paid
PAY0064936,LOAN02480,2016-03-22,15926.81,Paid
PAY0031678,LOAN01200,2016-03-24,66096.93,Paid
PAY0072583,LOAN02754,2016-03-27,71244.87,Late
PAY0002357,LOAN00098,2016-03-28,75363.02,Paid
PAY0073066,LOAN02768,2016-03-29,86295.59,Paid
PAY0065437,LOAN02496,2016-03-30,97610.60,Paid
PAY0049239,LOAN01865,2016-03-31,18967.81,Paid
PAY0016071,LOAN00601,2016-04-01,31555.27,Paid
PAY0033646,LOAN01279,2016-04-05,33084.95,Paid
PAY0063373,LOAN02413,2016-04-05,73019.08,Paid
PAY0067892,LOAN02581,2016-04-06,24281.21,Paid
PAY0006600,LOAN00265,2016-04-08,21171.90,Paid
PAY0025354,LOAN00948,2016-04-08,36610.24,Paid
PAY0012889,LOAN00491,2016-04-09,154016.57,Paid
PAY0059635,LOAN02280,2016-04-09,22587.57,Paid
PAY0066391,LOAN02529,2016-04-09,19261.14,Paid
PAY0055135,LOAN02102,2016-04-10,18386.06,Paid
PAY0014635,LOAN00551,2016-04-12,8203.74,Paid
PAY0025664,LOAN00960,2016-04-12,11315.73,Paid
PAY0073630,LOAN02791,2016-04-12,3806.67,Paid
PAY0007405,LOAN00287,2016-04-14,55198.78,Paid
PAY0034724,LOAN01312,2016-04-14,6630.76,Paid
PAY0018182,LOAN00686,2016-04-16,68974.11,Paid
PAY0007292,LOAN00285,2016-04-17,107200.38,Paid
PAY0057175,LOAN02185,2016-04-19,73465.46,Late
PAY0031679,LOAN01200,2016-04-20,66096.93,Paid
PAY0072394,LOAN02749,2016-04-20,35711.46,Paid
PAY0009872,LOAN00384,2016-04-22,30949.41,Paid
PAY0052388,LOAN01994,2016-04-22,72146.26,Late
PAY0064937,LOAN02480,2016-04-24,15926.81,Paid
PAY0055466,LOAN02116,2016-04-25,72585.82,Paid
PAY0016072,LOAN00601,2016-04-26,31555.27,Paid
PAY0065438,LOAN02496,2016-04-26,97610.60,Paid
PAY0072584,LOAN02754,2016-04-26,70738.40,Late
PAY0075440,LOAN02867,2016-04-26,22082.39,Paid
PAY0002358,LOAN00098,2016-04-27,75363.02,Paid
PAY0073067,LOAN02768,2016-04-27,86295.59,Paid
PAY0014740,LOAN00555,2016-05-01,25323.19,Paid
PAY0063374,LOAN02413,2016-05-01,73019.08,Paid
PAY0049240,LOAN01865,2016-05-02,18967.81,Paid
PAY0006601,LOAN00265,2016-05-03,21698.99,Late
PAY0059636,LOAN02280,2016-05-03,22587.57,Paid
PAY0012890,LOAN00491,2016-05-04,154016.57,Paid
PAY0025355,LOAN00948,2016-05-05,36610.24,Paid
PAY0055136,LOAN02102,2016-05-06,18386.06,Paid
PAY0033647,LOAN01279,2016-05-07,33084.95,Paid
PAY0034725,LOAN01312,2016-05-09,6630.76,Paid
PAY0066392,LOAN02529,2016-05-09,19261.14,Paid
PAY0014636,LOAN00551,2016-05-13,8203.74,Paid
PAY0067893,LOAN02581,2016-05-13,24281.21,Paid
PAY0007406,LOAN00287,2016-05-14,55198.78,Paid
PAY0025665,LOAN00960,2016-05-14,11315.73,Paid
PAY0073631,LOAN02791,2016-05-14,3806.67,Paid
PAY0009873,LOAN00384,2016-05-16,30949.41,Paid
PAY0007293,LOAN00285,2016-05-17,107200.38,Paid
PAY0026782,LOAN01007,2016-05-19,24444.25,Paid
PAY0052389,LOAN01994,2016-05-20,69522.34,Paid
PAY0072395,LOAN02749,2016-05-20,35711.46,Paid
PAY0018183,LOAN00686,2016-05-21,68974.11,Paid
PAY0064938,LOAN02480,2016-05-22,15926.81,Paid
PAY0031680,LOAN01200,2016-05-24,66096.93,Paid
PAY0077892,LOAN02952,2016-05-24,15984.88,Paid
PAY0002348,LOAN00097,2016-05-25,7187.68,Paid
PAY0055467,LOAN02116,2016-05-25,72585.82,Paid
PAY0057176,LOAN02185,2016-05-25,71857.79,Paid
PAY0072585,LOAN02754,2016-05-26,70756.25,Late
PAY0002359,LOAN00098,2016-05-27,75363.02,Paid
PAY0073068,LOAN02768,2016-05-29,86295.59,Paid
PAY0014741,LOAN00555,2016-05-30,25323.19,Paid
PAY0016073,LOAN00601,2016-05-30,31555.27,Paid
PAY0075441,LOAN02867,2016-05-30,22082.39,Paid
PAY0029415,LOAN01114,2016-06-01,18349.06,Paid
PAY0065439,LOAN02496,2016-06-01,97610.60,Paid
PAY0049241,LOAN01865,2016-06-04,18967.81,Paid
PAY0059637,LOAN02280,2016-06-04,22587.57,Paid
PAY0066393,LOAN02529,2016-06-04,19261.14,Paid
PAY0006602,LOAN00265,2016-06-05,21171.90,Paid
PAY0063375,LOAN02413,2016-06-05,73019.08,Paid
PAY0030398,LOAN01155,2016-06-06,31224.45,Paid
PAY0025356,LOAN00948,2016-06-07,36610.24,Paid
PAY0067894,LOAN02581,2016-06-07,24281.21,Paid
PAY0012891,LOAN00491,2016-06-08,154016.57,Paid
PAY0033648,LOAN01279,2016-06-08,33084.95,Paid
PAY0034726,LOAN01312,2016-06-08,6630.76,Paid
PAY0055137,LOAN02102,2016-06-08,18386.06,Paid
PAY0025666,LOAN00960,2016-06-09,11315.73,Paid
PAY0007407,LOAN00287,2016-06-10,55198.78,Paid
PAY0010616,LOAN00411,2016-06-12,25809.56,Paid
PAY0012946,LOAN00492,2016-06-12,31798.64,Paid
PAY0014637,LOAN00551,2016-06-12,8203.74,Paid
PAY0062159,LOAN02368,2016-06-12,36992.54,Paid
PAY0009874,LOAN00384,2016-06-15,30949.41,Paid
PAY0073632,LOAN02791,2016-06-16,3806.67,Paid
PAY0007294,LOAN00285,2016-06-18,107200.38,Paid
PAY0055468,LOAN02116,2016-06-19,72585.82,Paid
PAY0072396,LOAN02749,2016-06-21,35711.46,Paid
PAY0018184,LOAN00686,2016-06-22,68974.11,Paid
PAY0026783,LOAN01007,2016-06-23,25628.53,Late
PAY0031681,LOAN01200,2016-06-23,66096.93,Paid
PAY0002349,LOAN00097,2016-06-25,7187.68,Failed
PAY0002360,LOAN00098,2016-06-25,75363.02,Paid
PAY0057177,LOAN02185,2016-06-25,71857.79,Paid
PAY0073069,LOAN02768,2016-06-25,86295.59,Paid
PAY0052390,LOAN01994,2016-06-26,69522.34,Paid
PAY0077893,LOAN02952,2016-06-26,15984.88,Paid
PAY0064939,LOAN02480,2016-06-27,15926.81,Paid
PAY0065440,LOAN02496,2016-06-27,97610.60,Paid
PAY0016074,LOAN00601,2016-06-28,31555.27,Paid
PAY0075442,LOAN02867,2016-06-28,22082.39,Paid
PAY0072586,LOAN02754,2016-06-29,68269.80,Paid
PAY0030399,LOAN01155,2016-07-01,31224.45,Paid
PAY0029416,LOAN01114,2016-07-02,18349.06,Paid
PAY0025357,LOAN00948,2016-07-03,36610.24,Paid
PAY0014742,LOAN00555,2016-07-04,25323.19,Paid
PAY0049242,LOAN01865,2016-07-04,18967.81,Paid
PAY0033649,LOAN01279,2016-07-05,33084.95,Paid
PAY0066394,LOAN02529,2016-07-05,19261.14,Paid
PAY0055138,LOAN02102,2016-07-06,18386.06,Paid
PAY0063376,LOAN02413,2016-07-06,73019.08,Paid
PAY0006603,LOAN00265,2016-07-07,21171.90,Paid
PAY0059638,LOAN02280,2016-07-08,22587.57,Paid
PAY0010617,LOAN00411,2016-07-10,25809.56,Paid
PAY0012892,LOAN00491,2016-07-11,154016.57,Paid
PAY0014638,LOAN00551,2016-07-11,8203.74,Paid
PAY0007408,LOAN00287,2016-07-12,55198.78,Paid
PAY0011797,LOAN00451,2016-07-12,56160.63,Paid
PAY0019716,LOAN00743,2016-07-12,12547.66,Paid
PAY0067895,LOAN02581,2016-07-12,24281.21,Paid
PAY0012947,LOAN00492,2016-07-13,31798.64,Paid
PAY0034727,LOAN01312,2016-07-13,6630.76,Paid
PAY0025667,LOAN00960,2016-07-14,11315.73,Paid
PAY0062160,LOAN02368,2016-07-15,38226.97,Late
PAY0072397,LOAN02749,2016-07-15,35711.46,Paid
PAY0073633,LOAN02791,2016-07-15,3806.67,Paid
PAY0007295,LOAN00285,2016-07-16,107200.38,Paid
PAY0009875,LOAN00384,2016-07-18,30949.41,Paid
PAY0026784,LOAN01007,2016-07-20,24444.25,Paid
PAY0052391,LOAN01994,2016-07-20,69522.34,Paid
PAY0055469,LOAN02116,2016-07-20,72585.82,Paid
PAY0062396,LOAN02377,2016-07-20,27421.74,Paid
PAY0031682,LOAN01200,2016-07-21,66096.93,Paid
PAY0002361,LOAN00098,2016-07-22,75363.02,Paid
PAY0018185,LOAN00686,2016-07-22,68974.11,Paid
PAY0057178,LOAN02185,2016-07-22,71857.79,Paid
PAY0064940,LOAN02480,2016-07-22,15926.81,Paid
PAY0002350,LOAN00097,2016-07-23,7514.99,Late
PAY0073070,LOAN02768,2016-07-25,86295.59,Paid
PAY0016075,LOAN00601,2016-07-26,31555.27,Paid
PAY0065441,LOAN02496,2016-07-26,97610.60,Paid
PAY0077894,LOAN02952,2016-07-26,15984.88,Paid
PAY0072587,LOAN02754,2016-07-29,68269.80,Paid
PAY0029417,LOAN01114,2016-07-31,18349.06,Paid
PAY0049243,LOAN01865,2016-08-02,18967.81,Paid
PAY0075443,LOAN02867,2016-08-02,22082.39,Paid
PAY0014743,LOAN00555,2016-08-03,25323.19,Paid
PAY0072712,LOAN02757,2016-08-04,68514.67,Paid
PAY0026531,LOAN00997,2016-08-05,15177.77,Paid
PAY0030400,LOAN01155,2016-08-05,31941.33,Late
PAY0059639,LOAN02280,2016-08-05,22587.57,Paid
PAY0063377,LOAN02413,2016-08-05,73019.08,Paid
PAY0055139,LOAN02102,2016-08-06,18386.06,Paid
PAY0066395,LOAN02529,2016-08-06,19261.14,Paid
PAY0033650,LOAN01279,2016-08-07,33084.95,Paid
PAY0012893,LOAN00491,2016-08-08,154016.57,Paid
PAY0019717,LOAN00743,2016-08-08,12547.66,Paid
PAY0006604,LOAN00265,2016-08-09,21171.90,Paid
PAY0011119,LOAN00429,2016-08-09,14625.04,Paid
PAY0011798,LOAN00451,2016-08-09,56160.63,Paid
PAY0025358,LOAN00948,2016-08-09,36610.24,Paid
PAY0034728,LOAN01312,2016-08-09,6630.76,Paid
PAY0025668,LOAN00960,2016-08-10,11315.73,Paid
PAY0010618,LOAN00411,2016-08-11,25809.56,Paid
PAY0007409,LOAN00287,2016-08-12,55198.78,Paid
PAY0073634,LOAN02791,2016-08-12,3806.67,Paid
PAY0012948,LOAN00492,2016-08-13,31798.64,Paid
PAY0067896,LOAN02581,2016-08-13,24281.21,Paid
PAY0007296,LOAN00285,2016-08-14,107200.38,Paid
PAY0014639,LOAN00551,2016-08-14,8203.74,Paid
PAY0014849,LOAN00558,2016-08-15,8271.08,Paid
PAY0062161,LOAN02368,2016-08-16,36992.54,Paid
PAY0068646,LOAN02603,2016-08-16,14884.75,Paid
PAY0072398,LOAN02749,2016-08-16,35711.46,Paid
PAY0009876,LOAN00384,2016-08-17,30949.41,Paid
PAY0057179,LOAN02185,2016-08-18,71857.79,Paid
PAY0018186,LOAN00686,2016-08-19,68974.11,Paid
PAY0055470,LOAN02116,2016-08-19,72585.82,Paid
PAY0062397,LOAN02377,2016-08-19,28423.27,Late
PAY0031683,LOAN01200,2016-08-21,66096.93,Paid
PAY0077895,LOAN02952,2016-08-21,15984.88,Paid
PAY0026785,LOAN01007,2016-08-23,24444.25,Paid
PAY0064941,LOAN02480,2016-08-23,15926.81,Paid
PAY0002362,LOAN00098,2016-08-24,75363.02,Paid
PAY0072588,LOAN02754,2016-08-25,68269.80,Paid
PAY0073071,LOAN02768,2016-08-25,89933.12,Late
PAY0052392,LOAN01994,2016-08-26,69522.34,Paid
PAY0037588,LOAN01431,2016-08-28,56148.85,Paid
PAY0021318,LOAN00805,2016-08-29,114759.04,Paid
PAY0065442,LOAN02496,2016-08-29,97610.60,Paid
PAY0016076,LOAN00601,2016-08-31,31555.27,Paid
PAY0075444,LOAN02867,2016-08-31,22082.39,Paid
PAY0049244,LOAN01865,2016-09-01,18967.81,Paid
PAY0063378,LOAN02413,2016-09-01,73019.08,Paid
PAY0026532,LOAN00997,2016-09-02,15177.77,Paid
PAY0014744,LOAN00555,2016-09-03,25323.19,Paid
PAY0025359,LOAN00948,2016-09-03,37995.89,Late
PAY0029418,LOAN01114,2016-09-04,18349.06,Paid
PAY0072713,LOAN02757,2016-09-04,68514.67,Paid
PAY0066396,LOAN02529,2016-09-05,19261.14,Paid
PAY0030401,LOAN01155,2016-09-06,31224.45,Paid
PAY0059640,LOAN02280,2016-09-06,22587.57,Paid
PAY0006605,LOAN00265,2016-09-07,21171.90,Paid
PAY0055140,LOAN02102,2016-09-07,18386.06,Paid
PAY0033651,LOAN01279,2016-09-08,33084.95,Paid
PAY0067897,LOAN02581,2016-09-08,24281.21,Paid
PAY0007410,LOAN00287,2016-09-09,55198.78,Paid
PAY0019718,LOAN00743,2016-09-09,12547.66,Paid
PAY0025224,LOAN00944,2016-09-09,16263.92,Paid
PAY0076004,LOAN02884,2016-09-09,29737.50,Paid
PAY0014640,LOAN00551,2016-09-10,8203.74,Paid
PAY0012894,LOAN00491,2016-09-11,154016.57,Paid
PAY0011120,LOAN00429,2016-09-12,14625.04,Paid
PAY0012949,LOAN00492,2016-09-12,31798.64,Paid
PAY0025669,LOAN00960,2016-09-12,11315.73,Paid
PAY0034729,LOAN01312,2016-09-12,6630.76,Paid
PAY0062162,LOAN02368,2016-09-14,36992.54,Paid
PAY0068647,LOAN02603,2016-09-14,15379.39,Late
PAY0072399,LOAN02749,2016-09-14,35711.46,Paid
PAY0010619,LOAN00411,2016-09-16,25809.56,Paid
PAY0011799,LOAN00451,2016-09-16,56160.63,Paid
PAY0073635,LOAN02791,2016-09-17,3806.67,Paid
PAY0007297,LOAN00285,2016-09-18,107200.38,Paid
PAY0018187,LOAN00686,2016-09-18,68974.11,Paid
PAY0026786,LOAN01007,2016-09-18,24444.25,Paid
PAY0057180,LOAN02185,2016-09-18,71857.79,Paid
PAY0009877,LOAN00384,2016-09-19,30949.41,Paid
PAY0043945,LOAN01658,2016-09-19,86253.40,Paid
PAY0014850,LOAN00558,2016-09-20,8271.08,Paid
PAY0077896,LOAN02952,2016-09-21,15984.88,Paid
PAY0016517,LOAN00618,2016-09-22,61320.01,Paid
PAY0021319,LOAN00805,2016-09-22,114759.04,Paid
PAY0062398,LOAN02377,2016-09-22,28628.53,Late
PAY0064942,LOAN02480,2016-09-22,15926.81,Paid
PAY0031684,LOAN01200,2016-09-23,67980.80,Late
PAY0072589,LOAN02754,2016-09-23,68269.80,Paid
PAY0055471,LOAN02116,2016-09-24,72585.82,Paid
PAY0065131,LOAN02487,2016-09-25,22407.12,Paid
PAY0016077,LOAN00601,2016-09-26,32741.59,Late
PAY0052393,LOAN01994,2016-09-26,69522.34,Paid
PAY0002363,LOAN00098,2016-09-27,75363.02,Paid
PAY0073072,LOAN02768,2016-09-27,86295.59,Paid
PAY0075445,LOAN02867,2016-09-28,22082.39,Paid
PAY0014745,LOAN00555,2016-10-01,25323.19,Paid
PAY0049245,LOAN01865,2016-10-01,18967.81,Paid
PAY0026533,LOAN00997,2016-10-02,15177.77,Paid
PAY0037589,LOAN01431,2016-10-02,56148.85,Paid
PAY0065443,LOAN02496,2016-10-03,97610.60,Paid
PAY0006606,LOAN00265,2016-10-04,21171.90,Paid
PAY0030402,LOAN01155,2016-10-04,31224.45,Paid
PAY0066397,LOAN02529,2016-10-04,19261.14,Paid
PAY0029419,LOAN01114,2016-10-05,18349.06,Paid
PAY0063379,LOAN02413,2016-10-05,73019.08,Paid
PAY0025360,LOAN00948,2016-10-06,36610.24,Paid
PAY0033652,LOAN01279,2016-10-06,33084.95,Paid
PAY0055141,LOAN02102,2016-10-07,18386.06,Paid
PAY0012895,LOAN00491,2016-10-08,154016.57,Paid
PAY0017847,LOAN00671,2016-10-08,5847.67,Paid
PAY0020435,LOAN00772,2016-10-09,29918.84,Paid
PAY0046508,LOAN01752,2016-10-09,41464.63,Paid
PAY0072714,LOAN02757,2016-10-09,68514.67,Paid
PAY0076005,LOAN02884,2016-10-09,29737.50,Paid
PAY0007878,LOAN00302,2016-10-10,53749.65,Paid
PAY0010620,LOAN00411,2016-10-10,25809.56,Paid
PAY0011121,LOAN00429,2016-10-10,14625.04,Paid
PAY0019719,LOAN00743,2016-10-10,12547.66,Paid
PAY0059641,LOAN02280,2016-10-10,22587.57,Paid
PAY0037169,LOAN01416,2016-10-11,64655.46,Paid
PAY0062163,LOAN02368,2016-10-11,36992.54,Paid
PAY0067898,LOAN02581,2016-10-11,24281.21,Paid
PAY0007411,LOAN00287,2016-10-12,55198.78,Paid
PAY0011800,LOAN00451,2016-10-12,56160.63,Paid
PAY0012950,LOAN00492,2016-10-12,31798.64,Paid
PAY0025670,LOAN00960,2016-10-12,11315.73,Paid
PAY0034730,LOAN01312,2016-10-13,6630.76,Paid
PAY0025225,LOAN00944,2016-10-14,16263.92,Paid
PAY0073636,LOAN02791,2016-10-14,3806.67,Paid
PAY0014851,LOAN00558,2016-10-16,8271.08,Paid
PAY0016518,LOAN00618,2016-10-16,61320.01,Paid
PAY0071451,LOAN02715,2016-10-16,3402.48,Paid
PAY0007298,LOAN00285,2016-10-17,107200.38,Paid
PAY0014641,LOAN00551,2016-10-17,8203.74,Paid
PAY0018188,LOAN00686,2016-10-17,68974.11,Paid
PAY0043946,LOAN01658,2016-10-17,86253.40,Paid
PAY0068648,LOAN02603,2016-10-19,15184.08,Late
PAY0026787,LOAN01007,2016-10-20,24444.25,Paid
PAY0002364,LOAN00098,2016-10-21,75363.02,Paid
PAY0052394,LOAN01994,2016-10-21,69522.34,Paid
PAY0064943,LOAN02480,2016-10-21,15926.81,Paid
PAY0070375,LOAN02677,2016-10-21,111511.12,Paid
PAY0072400,LOAN02749,2016-10-21,35711.46,Paid
PAY0009878,LOAN00384,2016-10-22,30949.41,Paid
PAY0055472,LOAN02116,2016-10-23,72585.82,Paid
PAY0072590,LOAN02754,2016-10-23,69705.03,Late
PAY0031685,LOAN01200,2016-10-24,66096.93,Paid
PAY0057181,LOAN02185,2016-10-24,71857.79,Paid
PAY0066019,LOAN02520,2016-10-24,93852.35,Paid
PAY0073073,LOAN02768,2016-10-24,86295.59,Paid
PAY0021320,LOAN00805,2016-10-25,118990.55,Late
PAY0065444,LOAN02496,2016-10-26,97610.60,Paid
PAY0077897,LOAN02952,2016-10-26,15984.88,Paid
PAY0007228,LOAN00282,2016-10-28,91922.88,Paid
PAY0065132,LOAN02487,2016-10-29,22407.12,Paid
PAY0014746,LOAN00555,2016-10-30,25996.08,Late
PAY0016078,LOAN00601,2016-10-30,32919.00,Late
PAY0075446,LOAN02867,2016-10-30,22082.39,Paid
PAY0026534,LOAN00997,2016-10-31,15177.77,Paid
PAY0037590,LOAN01431,2016-11-01,56148.85,Paid
PAY0049246,LOAN01865,2016-11-01,18967.81,Paid
PAY0017848,LOAN00671,2016-11-02,5847.67,Paid
PAY0030403,LOAN01155,2016-11-03,31224.45,Paid
PAY0020436,LOAN00772,2016-11-04,29918.84,Paid
PAY0029420,LOAN01114,2016-11-04,18349.06,Paid
PAY0015626,LOAN00586,2016-11-05,26411.00,Paid
PAY0033653,LOAN01279,2016-11-05,33084.95,Paid
PAY0072715,LOAN02757,2016-11-05,68514.67,Paid
PAY0007879,LOAN00302,2016-11-06,53749.65,Paid
PAY0012896,LOAN00491,2016-11-07,154016.57,Paid
PAY0063380,LOAN02413,2016-11-07,73019.08,Paid
PAY0006607,LOAN00265,2016-11-08,21171.90,Paid
PAY0025226,LOAN00944,2016-11-08,16263.92,Paid
PAY0025361,LOAN00948,2016-11-08,36610.24,Paid
PAY0046509,LOAN01752,2016-11-08,41464.63,Paid
PAY0066398,LOAN02529,2016-11-08,20036.81,Late
PAY0067899,LOAN02581,2016-11-08,24281.21,Paid
PAY0034731,LOAN01312,2016-11-09,6630.76,Paid
PAY0059642,LOAN02280,2016-11-09,22587.57,Paid
PAY0010621,LOAN00411,2016-11-10,25809.56,Paid
PAY0055142,LOAN02102,2016-11-10,18386.06,Paid
PAY0055178,LOAN02105,2016-11-10,63948.04,Paid
PAY0076006,LOAN02884,2016-11-10,29737.50,Paid
PAY0014642,LOAN00551,2016-11-11,8203.74,Paid
PAY0037170,LOAN01416,2016-11-11,64655.46,Paid
PAY0007412,LOAN00287,2016-11-12,55198.78,Paid
PAY0025671,LOAN00960,2016-11-12,11315.73,Paid
PAY0007299,LOAN00285,2016-11-13,107200.38,Paid
PAY0011122,LOAN00429,2016-11-13,14932.73,Late
PAY0011801,LOAN00451,2016-11-13,56160.63,Paid
PAY0012951,LOAN00492,2016-11-13,31798.64,Paid
PAY0019720,LOAN00743,2016-11-13,12547.66,Paid
PAY0073637,LOAN02791,2016-11-13,3806.67,Paid
PAY0018189,LOAN00686,2016-11-15,68974.11,Paid
PAY0016519,LOAN00618,2016-11-17,61320.01,Paid
PAY0072401,LOAN02749,2016-11-17,35711.46,Paid
