Card_ID,Customer_ID,Card_Type,Issue_Date,Credit_Limit,Card_Status
CARD002012,CUST01656,Credit Card,2016-11-12,50000.00,Active
CARD001215,CUST02072,Debit Card,2016-11-24,200000.00,Active
CARD003264,CUST04814,Credit Card,2016-12-01,100000.00,Active
CARD000607,CUST02750,Credit Card,2016-12-10,150000.00,Active
CARD002707,CUST03762,Prepaid Card,2016-12-11,10000.00,Active
CARD003247,CUST01570,Prepaid Card,2016-12-11,50000.00,Expired
CARD003439,CUST03040,Debit Card,2016-12-12,100000.00,Active
CARD004950,CUST00383,Credit Card,2016-12-12,100000.00,Active
CARD001632,CUST02782,Credit Card,2016-12-13,150000.00,Active
CARD002885,CUST00759,Credit Card,2016-12-13,1000000.00,Active
CARD000089,CUST04193,Debit Card,2016-12-14,50000.00,Active
CARD000360,CUST02095,Debit Card,2016-12-16,50000.00,Active
CARD000506,CUST04368,Credit Card,2016-12-17,1000000.00,Active
CARD002694,CUST04240,Debit Card,2016-12-18,200000.00,Active
CARD003059,CUST04329,Credit Card,2016-12-19,150000.00,Active
CARD002149,CUST00741,Credit Card,2016-12-20,500000.00,Active
CARD001211,CUST02829,Debit Card,2016-12-25,100000.00,Active
CARD003956,CUST02594,Credit Card,2016-12-26,500000.00,Active
CARD001750,CUST00489,Credit Card,2017-01-08,500000.00,Active
CARD003192,CUST01365,Debit Card,2017-01-08,25000.00,Active
CARD004433,CUST00308,Debit Card,2017-01-08,200000.00,Active
CARD004511,CUST00389,Debit Card,2017-01-12,100000.00,Active
CARD005062,CUST02540,Debit Card,2017-01-16,100000.00,Active
CARD001727,CUST04879,Credit Card,2017-01-20,50000.00,Active
CARD002636,CUST00179,Corporate Card,2017-01-24,500000.00,Active
CARD002197,CUST04092,Credit Card,2017-01-26,500000.00,Active
CARD003712,CUST02012,Debit Card,2017-01-30,200000.00,Active
CARD002611,CUST00988,Debit Card,2017-02-07,200000.00,Active
CARD000581,CUST02674,Debit Card,2017-02-09,50000.00,Active
CARD000987,CUST03801,Credit Card,2017-02-10,250000.00,Active
CARD000391,CUST01400,Debit Card,2017-02-22,200000.00,Active
CARD001122,CUST01277,Credit Card,2017-02-26,150000.00,Inactive
CARD004913,CUST04053,Debit Card,2017-02-28,50000.00,Active
CARD000568,CUST02773,Corporate Card,2017-03-01,1500000.00,Active
CARD004805,CUST00746,Debit Card,2017-03-04,100000.00,Active
CARD004352,CUST04837,Credit Card,2017-03-07,150000.00,Active
CARD001978,CUST03352,Credit Card,2017-03-08,50000.00,Active
CARD002117,CUST01357,Debit Card,2017-03-11,200000.00,Active
CARD003876,CUST00832,Prepaid Card,2017-03-11,10000.00,Active
CARD000487,CUST02434,Prepaid Card,2017-03-12,10000.00,Expired
CARD002974,CUST01846,Debit Card,2017-03-13,200000.00,Active
CARD003470,CUST00323,Credit Card,2017-03-22,50000.00,Active
CARD001879,CUST04271,Prepaid Card,2017-03-24,25000.00,Active
CARD003204,CUST03122,Prepaid Card,2017-03-25,50000.00,Active
CARD000132,CUST02457,Credit Card,2017-03-26,500000.00,Active
CARD002297,CUST01645,Debit Card,2017-04-01,25000.00,Blocked
CARD002055,CUST03601,Debit Card,2017-04-02,50000.00,Active
CARD004489,CUST01770,Debit Card,2017-04-05,200000.00,Active
CARD003075,CUST03352,Credit Card,2017-04-06,500000.00,Active
CARD000863,CUST04218,Debit Card,2017-04-10,25000.00,Active
CARD000010,CUST03278,Debit Card,2017-04-11,50000.00,Active
CARD002158,CUST01385,Debit Card,2017-04-13,200000.00,Active
CARD003105,CUST01361,Credit Card,2017-04-14,250000.00,Active
CARD005153,CUST03109,Prepaid Card,2017-04-14,10000.00,Active
CARD001420,CUST03795,Credit Card,2017-04-20,500000.00,Active
CARD004915,CUST02377,Credit Card,2017-04-20,250000.00,Active
CARD001117,CUST00695,Credit Card,2017-04-21,100000.00,Active
CARD002389,CUST03472,Credit Card,2017-04-25,100000.00,Active
CARD003053,CUST04540,Credit Card,2017-04-26,150000.00,Active
CARD003590,CUST01329,Prepaid Card,2017-04-26,50000.00,Active
CARD003604,CUST04443,Prepaid Card,2017-04-26,50000.00,Active
CARD003974,CUST03680,Credit Card,2017-04-29,150000.00,Active
CARD001695,CUST03115,Credit Card,2017-04-30,250000.00,Active
CARD004740,CUST01514,Debit Card,2017-05-02,200000.00,Active
CARD001882,CUST02589,Credit Card,2017-05-06,1000000.00,Active
CARD002638,CUST01245,Debit Card,2017-05-08,200000.00,Active
CARD003496,CUST00540,Credit Card,2017-05-08,150000.00,Active
CARD004542,CUST01194,Credit Card,2017-05-09,500000.00,Active
CARD001861,CUST02353,Credit Card,2017-05-10,500000.00,Active
CARD001023,CUST03260,Debit Card,2017-05-15,200000.00,Active
CARD003491,CUST01385,Prepaid Card,2017-05-22,10000.00,Active
CARD004888,CUST02672,Credit Card,2017-05-22,250000.00,Active
CARD003306,CUST01376,Debit Card,2017-05-29,100000.00,Active
CARD001068,CUST01004,Prepaid Card,2017-05-30,25000.00,Active
CARD003618,CUST01708,Credit Card,2017-06-05,250000.00,Active
CARD002032,CUST03320,Debit Card,2017-06-06,50000.00,Active
CARD002408,CUST03801,Credit Card,2017-06-06,100000.00,Active
CARD000835,CUST03406,Debit Card,2017-06-10,200000.00,Active
CARD000644,CUST02776,Credit Card,2017-06-17,250000.00,Active
CARD005106,CUST00190,Debit Card,2017-06-17,25000.00,Active
CARD000575,CUST04010,Prepaid Card,2017-06-19,25000.00,Active
CARD003245,CUST03969,Credit Card,2017-06-21,50000.00,Active
CARD002570,CUST00126,Corporate Card,2017-06-23,500000.00,Blocked
CARD002924,CUST04240,Debit Card,2017-06-23,100000.00,Active
CARD003399,CUST01945,Debit Card,2017-06-27,50000.00,Inactive
CARD004420,CUST00236,Debit Card,2017-06-27,200000.00,Active
CARD003409,CUST02996,Credit Card,2017-06-28,500000.00,Active
CARD004003,CUST04551,Credit Card,2017-06-29,50000.00,Active
CARD001684,CUST00372,Credit Card,2017-07-04,1000000.00,Active
CARD001349,CUST02187,Prepaid Card,2017-07-07,10000.00,Inactive
CARD003950,CUST02743,Debit Card,2017-07-07,50000.00,Active
CARD001877,CUST01237,Debit Card,2017-07-10,25000.00,Active
CARD003155,CUST01538,Corporate Card,2017-07-10,200000.00,Active
CARD004338,CUST01575,Credit Card,2017-07-10,100000.00,Active
CARD001527,CUST00032,Debit Card,2017-07-13,200000.00,Active
CARD002115,CUST00750,Debit Card,2017-07-18,25000.00,Blocked
CARD004169,CUST00861,Credit Card,2017-07-19,100000.00,Active
CARD000301,CUST04372,Credit Card,2017-07-20,500000.00,Active
CARD004807,CUST04113,Credit Card,2017-07-27,500000.00,Active
CARD002821,CUST02017,Debit Card,2017-07-29,200000.00,Blocked
CARD000182,CUST02949,Corporate Card,2017-08-04,1500000.00,Active
CARD002499,CUST02264,Credit Card,2017-08-04,500000.00,Active
CARD001289,CUST03340,Credit Card,2017-08-05,50000.00,Active
CARD003239,CUST01483,Debit Card,2017-08-08,200000.00,Blocked
CARD000492,CUST01665,Credit Card,2017-08-09,500000.00,Active
CARD003802,CUST04264,Prepaid Card,2017-08-09,25000.00,Active
CARD005101,CUST02036,Debit Card,2017-08-12,200000.00,Inactive
CARD000011,CUST00726,Credit Card,2017-08-17,150000.00,Active
CARD000452,CUST03477,Debit Card,2017-08-25,50000.00,Active
CARD004916,CUST02446,Debit Card,2017-08-28,100000.00,Active
CARD001680,CUST04798,Prepaid Card,2017-08-31,50000.00,Active
CARD002601,CUST02589,Credit Card,2017-08-31,1000000.00,Active
CARD002903,CUST03526,Debit Card,2017-09-02,50000.00,Active
CARD001253,CUST01703,Credit Card,2017-09-05,50000.00,Active
CARD003030,CUST02816,Credit Card,2017-09-07,100000.00,Active
CARD002579,CUST04717,Credit Card,2017-09-08,150000.00,Active
CARD004440,CUST00331,Credit Card,2017-09-08,1000000.00,Active
CARD002057,CUST03739,Debit Card,2017-09-11,50000.00,Active
CARD001744,CUST00677,Debit Card,2017-09-12,50000.00,Active
CARD001139,CUST00522,Credit Card,2017-09-15,1000000.00,Active
CARD002826,CUST02910,Prepaid Card,2017-09-15,50000.00,Active
CARD000175,CUST01800,Debit Card,2017-09-16,25000.00,Active
CARD000433,CUST02828,Debit Card,2017-09-18,100000.00,Active
CARD001260,CUST01480,Debit Card,2017-09-20,25000.00,Active
CARD002954,CUST04520,Credit Card,2017-09-21,1000000.00,Active
CARD002840,CUST02377,Credit Card,2017-09-22,500000.00,Active
CARD001476,CUST02324,Debit Card,2017-09-23,100000.00,Active
CARD000197,CUST02115,Credit Card,2017-09-24,50000.00,Active
CARD002445,CUST01390,Credit Card,2017-09-25,100000.00,Active
CARD003694,CUST02509,Credit Card,2017-09-27,100000.00,Active
CARD003137,CUST01469,Credit Card,2017-09-28,100000.00,Active
CARD001627,CUST01548,Credit Card,2017-10-01,150000.00,Active
CARD000322,CUST02170,Credit Card,2017-10-03,50000.00,Active
CARD004828,CUST00857,Debit Card,2017-10-05,50000.00,Active
CARD000395,CUST00695,Debit Card,2017-10-07,25000.00,Active
CARD003226,CUST04082,Debit Card,2017-10-08,200000.00,Active
CARD005077,CUST03010,Credit Card,2017-10-08,1000000.00,Active
CARD001137,CUST04588,Credit Card,2017-10-09,1000000.00,Active
CARD001543,CUST03868,Debit Card,2017-10-09,25000.00,Active
CARD002105,CUST00286,Credit Card,2017-10-09,100000.00,Active
CARD002233,CUST02150,Credit Card,2017-10-09,250000.00,Active
CARD003828,CUST02433,Credit Card,2017-10-09,50000.00,Active
CARD003576,CUST00148,Credit Card,2017-10-12,50000.00,Active
CARD001245,CUST04475,Credit Card,2017-10-15,500000.00,Active
CARD003676,CUST01994,Prepaid Card,2017-10-16,10000.00,Active
CARD004363,CUST01590,Debit Card,2017-10-16,25000.00,Active
CARD004624,CUST02354,Debit Card,2017-10-16,50000.00,Active
CARD000793,CUST01777,Prepaid Card,2017-10-17,10000.00,Active
CARD001781,CUST02426,Credit Card,2017-10-18,150000.00,Active
CARD002545,CUST02179,Credit Card,2017-10-18,50000.00,Active
CARD000111,CUST02443,Debit Card,2017-10-19,200000.00,Active
CARD000059,CUST01945,Credit Card,2017-10-22,500000.00,Active
CARD001026,CUST04316,Debit Card,2017-10-22,50000.00,Active
CARD001112,CUST02706,Credit Card,2017-10-24,250000.00,Active
CARD002487,CUST00968,Credit Card,2017-10-25,150000.00,Active
CARD000585,CUST02538,Debit Card,2017-10-26,200000.00,Active
CARD003069,CUST03501,Credit Card,2017-10-26,250000.00,Active
CARD004571,CUST00179,Credit Card,2017-10-26,150000.00,Active
CARD001291,CUST01861,Credit Card,2017-10-27,250000.00,Active
CARD000426,CUST01332,Debit Card,2017-11-04,50000.00,Active
CARD000962,CUST02465,Debit Card,2017-11-06,25000.00,Active
CARD005034,CUST03247,Prepaid Card,2017-11-07,25000.00,Active
CARD000429,CUST04955,Debit Card,2017-11-09,100000.00,Expired
CARD002279,CUST01004,Credit Card,2017-11-11,150000.00,Active
CARD001286,CUST00388,Debit Card,2017-11-13,200000.00,Expired
CARD001401,CUST02702,Credit Card,2017-11-13,50000.00,Active
CARD005008,CUST01937,Credit Card,2017-11-14,1000000.00,Active
CARD001706,CUST02128,Debit Card,2017-11-15,100000.00,Blocked
CARD003126,CUST00430,Debit Card,2017-11-21,50000.00,Active
CARD001923,CUST02616,Credit Card,2017-11-23,500000.00,Active
CARD001170,CUST00591,Credit Card,2017-11-25,500000.00,Active
CARD004054,CUST02863,Debit Card,2017-11-27,25000.00,Active
CARD004893,CUST02706,Credit Card,2017-11-27,1000000.00,Active
CARD002809,CUST00280,Credit Card,2017-11-30,150000.00,Blocked
CARD003270,CUST04141,Credit Card,2017-11-30,150000.00,Active
CARD000347,CUST04247,Credit Card,2017-12-03,250000.00,Active
CARD002466,CUST00569,Debit Card,2017-12-04,50000.00,Active
CARD003972,CUST01527,Debit Card,2017-12-05,25000.00,Active
CARD004471,CUST02927,Credit Card,2017-12-08,50000.00,Active
CARD005164,CUST04050,Credit Card,2017-12-08,500000.00,Active
CARD002756,CUST00932,Credit Card,2017-12-15,150000.00,Active
CARD003530,CUST02114,Debit Card,2017-12-15,200000.00,Active
CARD001535,CUST00785,Debit Card,2017-12-17,25000.00,Blocked
CARD002734,CUST04957,Credit Card,2017-12-18,50000.00,Active
CARD002794,CUST03646,Debit Card,2017-12-19,50000.00,Active
CARD000533,CUST03082,Debit Card,2017-12-21,25000.00,Active
CARD002944,CUST00143,Corporate Card,2017-12-22,500000.00,Active
CARD003446,CUST00927,Prepaid Card,2017-12-23,50000.00,Active
CARD004963,CUST04049,Debit Card,2017-12-23,200000.00,Active
CARD002970,CUST04419,Credit Card,2017-12-24,1000000.00,Active
CARD002538,CUST04187,Debit Card,2017-12-30,25000.00,Active
CARD002453,CUST03364,Debit Card,2018-01-03,50000.00,Blocked
CARD005155,CUST02233,Debit Card,2018-01-03,25000.00,Blocked
CARD001712,CUST01483,Debit Card,2018-01-08,100000.00,Active
CARD004719,CUST02998,Debit Card,2018-01-08,200000.00,Active
CARD002513,CUST04200,Debit Card,2018-01-09,25000.00,Active
CARD001246,CUST03739,Credit Card,2018-01-15,500000.00,Expired
CARD002161,CUST04458,Debit Card,2018-01-17,100000.00,Inactive
CARD001806,CUST03960,Credit Card,2018-01-18,1000000.00,Active
CARD002516,CUST02425,Debit Card,2018-01-23,25000.00,Expired
CARD003516,CUST01658,Debit Card,2018-01-23,50000.00,Active
CARD000372,CUST01826,Debit Card,2018-01-24,200000.00,Active
CARD000655,CUST00831,Credit Card,2018-01-25,250000.00,Active
CARD002983,CUST02299,Debit Card,2018-01-25,200000.00,Active
CARD003708,CUST00980,Credit Card,2018-01-26,50000.00,Active
CARD002785,CUST03676,Credit Card,2018-01-27,500000.00,Inactive
CARD004394,CUST01958,Debit Card,2018-01-27,100000.00,Inactive
CARD005133,CUST03948,Credit Card,2018-01-27,100000.00,Active
CARD001880,CUST01896,Credit Card,2018-01-31,500000.00,Active
CARD003622,CUST02193,Debit Card,2018-02-01,200000.00,Active
CARD002342,CUST00659,Credit Card,2018-02-03,50000.00,Active
CARD003911,CUST03841,Credit Card,2018-02-03,1000000.00,Active
CARD003975,CUST03007,Credit Card,2018-02-03,500000.00,Active
CARD000979,CUST01986,Debit Card,2018-02-04,100000.00,Active
CARD003136,CUST01388,Prepaid Card,2018-02-06,50000.00,Active
CARD003560,CUST01221,Prepaid Card,2018-02-07,10000.00,Active
CARD000501,CUST04790,Prepaid Card,2018-02-08,10000.00,Active
CARD001951,CUST03094,Credit Card,2018-02-08,150000.00,Active
CARD004499,CUST01509,Credit Card,2018-02-12,250000.00,Active
CARD000748,CUST03142,Credit Card,2018-02-14,500000.00,Active
CARD001991,CUST04073,Prepaid Card,2018-02-14,25000.00,Expired
CARD004312,CUST02341,Debit Card,2018-02-14,25000.00,Blocked
CARD002991,CUST04528,Credit Card,2018-02-16,250000.00,Active
CARD001098,CUST01607,Prepaid Card,2018-02-18,25000.00,Expired
CARD001209,CUST03868,Debit Card,2018-02-19,200000.00,Active
CARD003938,CUST00473,Credit Card,2018-02-19,1000000.00,Active
CARD004007,CUST04730,Prepaid Card,2018-02-19,10000.00,Active
CARD001050,CUST01270,Debit Card,2018-02-20,50000.00,Active
CARD000508,CUST03445,Debit Card,2018-02-22,200000.00,Blocked
CARD002452,CUST00444,Credit Card,2018-02-25,50000.00,Blocked
CARD003946,CUST00766,Credit Card,2018-02-25,100000.00,Active
CARD005130,CUST01209,Corporate Card,2018-02-26,500000.00,Blocked
CARD005191,CUST03966,Credit Card,2018-02-26,500000.00,Active
CARD004000,CUST03598,Credit Card,2018-02-27,150000.00,Active
CARD002878,CUST02301,Credit Card,2018-03-01,50000.00,Active
CARD003320,CUST04249,Credit Card,2018-03-03,150000.00,Active
CARD004096,CUST03015,Credit Card,2018-03-04,250000.00,Active
CARD000289,CUST01004,Credit Card,2018-03-05,150000.00,Active
CARD004365,CUST02947,Debit Card,2018-03-06,200000.00,Active
CARD000327,CUST01642,Debit Card,2018-03-08,50000.00,Active
CARD004406,CUST02909,Debit Card,2018-03-08,25000.00,Active
CARD000424,CUST01391,Credit Card,2018-03-14,150000.00,Active
CARD004954,CUST00059,Credit Card,2018-03-14,150000.00,Active
CARD001343,CUST01703,Credit Card,2018-03-15,150000.00,Active
CARD000650,CUST02508,Debit Card,2018-03-16,25000.00,Active
CARD001339,CUST04217,Credit Card,2018-03-17,500000.00,Active
CARD000077,CUST02223,Credit Card,2018-03-19,50000.00,Active
CARD001490,CUST02637,Debit Card,2018-03-26,100000.00,Active
CARD002061,CUST02815,Credit Card,2018-03-26,1000000.00,Active
CARD002461,CUST01329,Prepaid Card,2018-03-28,50000.00,Active
CARD002196,CUST00210,Debit Card,2018-03-29,200000.00,Active
CARD000125,CUST01172,Credit Card,2018-04-03,1000000.00,Active
CARD003466,CUST03898,Credit Card,2018-04-03,1000000.00,Active
CARD001044,CUST02431,Debit Card,2018-04-05,50000.00,Active
CARD003890,CUST03007,Credit Card,2018-04-08,150000.00,Active
CARD002725,CUST01697,Credit Card,2018-04-11,100000.00,Expired
CARD003404,CUST02233,Corporate Card,2018-04-12,1500000.00,Active
CARD003719,CUST00264,Credit Card,2018-04-12,150000.00,Active
CARD002572,CUST02007,Debit Card,2018-04-13,50000.00,Active
CARD001529,CUST04337,Debit Card,2018-04-14,200000.00,Active
CARD002512,CUST00382,Debit Card,2018-04-14,200000.00,Active
CARD004088,CUST01324,Credit Card,2018-04-14,50000.00,Active
CARD000972,CUST03247,Debit Card,2018-04-17,25000.00,Active
CARD004324,CUST03423,Credit Card,2018-04-17,250000.00,Active
CARD003288,CUST02996,Credit Card,2018-04-21,1000000.00,Active
CARD003539,CUST03699,Credit Card,2018-04-23,100000.00,Active
CARD004603,CUST00947,Credit Card,2018-04-27,1000000.00,Active
CARD004774,CUST00737,Credit Card,2018-04-27,100000.00,Active
CARD002469,CUST01480,Corporate Card,2018-04-28,200000.00,Active
CARD001911,CUST00740,Credit Card,2018-04-29,1000000.00,Active
CARD000966,CUST02457,Credit Card,2018-04-30,50000.00,Active
CARD001362,CUST01974,Debit Card,2018-04-30,25000.00,Active
CARD004521,CUST00607,Credit Card,2018-04-30,250000.00,Active
CARD002912,CUST01056,Credit Card,2018-05-04,150000.00,Active
CARD000831,CUST03267,Corporate Card,2018-05-05,500000.00,Active
CARD000763,CUST00208,Credit Card,2018-05-06,100000.00,Active
CARD001567,CUST03281,Credit Card,2018-05-11,250000.00,Active
CARD000751,CUST01788,Credit Card,2018-05-12,500000.00,Blocked
CARD001066,CUST00656,Debit Card,2018-05-14,200000.00,Active
CARD004940,CUST00932,Credit Card,2018-05-14,100000.00,Inactive
CARD004298,CUST00120,Credit Card,2018-05-19,1000000.00,Active
CARD002191,CUST02523,Credit Card,2018-05-21,100000.00,Expired
CARD005194,CUST01088,Debit Card,2018-05-23,200000.00,Inactive
CARD005145,CUST00591,Credit Card,2018-05-24,150000.00,Active
CARD000215,CUST02048,Debit Card,2018-05-25,25000.00,Inactive
CARD002825,CUST01599,Credit Card,2018-05-25,100000.00,Active
CARD003597,CUST03296,Credit Card,2018-05-25,50000.00,Active
CARD003107,CUST00434,Debit Card,2018-05-27,100000.00,Active
CARD000275,CUST04111,Debit Card,2018-05-31,200000.00,Active
CARD000128,CUST04233,Credit Card,2018-06-09,1000000.00,Active
CARD004109,CUST00320,Credit Card,2018-06-10,500000.00,Active
CARD002328,CUST03294,Credit Card,2018-06-11,150000.00,Active
CARD004630,CUST03239,Credit Card,2018-06-15,150000.00,Active
CARD005111,CUST01806,Debit Card,2018-06-17,100000.00,Active
CARD002036,CUST04643,Corporate Card,2018-06-18,200000.00,Active
CARD001878,CUST03959,Credit Card,2018-06-22,50000.00,Inactive
CARD001015,CUST01553,Debit Card,2018-06-23,25000.00,Active
CARD001191,CUST03088,Credit Card,2018-06-23,50000.00,Expired
CARD004148,CUST04987,Credit Card,2018-06-23,150000.00,Active
CARD004281,CUST03322,Credit Card,2018-06-26,100000.00,Active
CARD000758,CUST04225,Debit Card,2018-06-27,25000.00,Active
CARD002820,CUST01153,Debit Card,2018-06-27,50000.00,Active
CARD002920,CUST04683,Credit Card,2018-06-27,250000.00,Active
CARD000144,CUST04659,Credit Card,2018-06-28,500000.00,Active
CARD001979,CUST01376,Debit Card,2018-06-29,25000.00,Expired
CARD000910,CUST04194,Credit Card,2018-07-02,100000.00,Active
CARD001379,CUST02126,Credit Card,2018-07-02,250000.00,Inactive
