Account_ID,Customer_ID,Branch_ID,Account_Type,Open_Date,Balance,Account_Status
ACC000046,CUST00046,BR018,Current,2019-05-09,368518.20,Active
ACC000047,CUST00047,BR030,Savings,2024-06-08,83096.72,Active
ACC000048,CUST00048,BR026,Savings,2017-05-27,4876245.45,Active
ACC000049,CUST00049,BR026,Savings,2022-03-10,125773.11,Active
ACC000050,CUST00050,BR038,Savings,2022-02-26,4450454.99,Active
ACC000051,CUST00051,BR033,Savings,2021-07-03,79347.35,Active
ACC000052,CUST00052,BR034,Savings,2023-10-16,19094.55,Active
ACC000053,CUST00053,BR024,Savings,2023-04-08,3207.15,Active
ACC000054,CUST00054,BR047,Current,2019-10-28,1970812.22,Active
ACC000055,CUST00055,BR036,Savings,2022-10-06,104604.95,Active
ACC000056,CUST00056,BR037,Savings,2024-04-23,19412.96,Active
ACC000057,CUST00057,BR042,Savings,2022-04-19,70600.20,Active
ACC000058,CUST00058,BR043,Savings,2022-10-02,307575.99,Inactive
ACC000059,CUST00059,BR020,Savings,2017-09-30,3249.42,Active
ACC000060,CUST00060,BR030,Fixed Deposit,2023-07-05,1773060.52,Dormant
ACC000061,CUST00061,BR016,Savings,2015-12-21,17278.73,Active
ACC000062,CUST00062,BR012,Savings,2023-08-03,103005.61,Active
ACC000063,CUST00063,BR009,Savings,2021-08-21,1108318.29,Active
ACC000064,CUST00064,BR047,Savings,2024-04-01,2722792.55,Active
ACC000065,CUST00065,BR017,Savings,2022-08-09,18636.33,Active
ACC000066,CUST00066,BR016,Salary,2024-03-02,156662.15,Active
ACC000067,CUST00067,BR006,Fixed Deposit,2020-06-08,915154.80,Dormant
ACC000068,CUST00068,BR027,Salary,2023-09-01,95975.72,Active
ACC000069,CUST00069,BR002,Current,2023-09-17,351672.49,Active
ACC000070,CUST00070,BR027,Savings,2021-02-24,6417.29,Dormant
ACC000071,CUST00071,BR028,Savings,2019-10-08,12614.65,Active
ACC000072,CUST00072,BR009,Savings,2022-05-27,36309.28,Dormant
ACC000073,CUST00073,BR028,Savings,2019-10-12,83766.08,Active
ACC000074,CUST00074,BR021,Savings,2022-06-11,3467.98,Active
ACC000075,CUST00075,BR002,Salary,2022-12-23,24751.51,Dormant
ACC000076,CUST00076,BR049,Savings,2018-11-25,21591.41,Active
ACC000077,CUST00077,BR031,Savings,2018-03-23,21232.97,Inactive
ACC000078,CUST00078,BR039,Fixed Deposit,2023-06-17,585763.56,Active
ACC000079,CUST00079,BR002,Savings,2022-10-08,16817.08,Active
ACC000080,CUST00080,BR005,Savings,2023-06-20,31851.77,Active
ACC000081,CUST00081,BR039,Savings,2023-03-30,16107.78,Active
ACC000082,CUST00082,BR024,Salary,2024-05-18,103885.39,Active
ACC000083,CUST00083,BR024,Savings,2024-06-04,37318.69,Active
ACC000084,CUST00084,BR042,Savings,2021-03-23,452392.27,Dormant
ACC000085,CUST00085,BR018,Fixed Deposit,2023-04-18,253240.25,Active
ACC000086,CUST00086,BR040,Current,2018-07-31,632839.53,Active
ACC000087,CUST00087,BR023,Fixed Deposit,2024-03-24,1217312.10,Active
ACC000088,CUST00088,BR034,Current,2024-04-10,594925.37,Active
ACC000089,CUST00089,BR031,Savings,2024-04-26,14118.42,Active
ACC000090,CUST00090,BR045,Current,2024-04-05,473901.01,Active
ACC000091,CUST00091,BR048,Fixed Deposit,2024-03-12,534788.31,Dormant
ACC000092,CUST00092,BR047,Savings,2024-04-05,314048.53,Active
ACC000093,CUST00093,BR014,Current,2024-04-20,112798.40,Active
ACC000094,CUST00094,BR007,Salary,2019-12-14,168450.06,Active
ACC000095,CUST00095,BR009,Fixed Deposit,2016-11-27,1060762.19,Inactive
ACC000096,CUST00096,BR007,Savings,2023-03-17,8179.31,Active
ACC000097,CUST00097,BR017,Savings,2019-08-29,96314.66,Active
ACC000098,CUST00098,BR004,Savings,2024-02-22,143290.78,Active
ACC000099,CUST00099,BR049,Savings,2024-03-01,23617.88,Inactive
ACC000100,CUST00100,BR029,Savings,2022-07-18,136492.45,Active
ACC000101,CUST00101,BR049,Savings,2020-03-22,40342.27,Active
ACC000102,CUST00102,BR005,Current,2023-02-28,43565.01,Active
ACC000103,CUST00103,BR019,Savings,2022-04-12,152424.62,Active
ACC000104,CUST00104,BR043,Fixed Deposit,2022-03-04,290408.45,Active
ACC000105,CUST00105,BR010,Current,2024-05-18,39515.90,Active
ACC000106,CUST00106,BR008,Savings,2024-03-26,50193.77,Active
ACC000107,CUST00107,BR029,Savings,2024-03-29,4328.32,Active
ACC000108,CUST00108,BR015,Savings,2022-10-15,22616.81,Active
ACC000109,CUST00109,BR037,Savings,2017-07-12,1852519.64,Active
ACC000110,CUST00110,BR038,Savings,2024-02-09,25273.23,Dormant
ACC000111,CUST00111,BR021,Savings,2023-08-10,61922.92,Active
ACC000112,CUST00112,BR026,Savings,2017-11-27,593389.30,Active
ACC000113,CUST00113,BR050,Savings,2015-12-19,7505.13,Active
ACC000114,CUST00114,BR013,Savings,2023-07-11,12934.75,Active
ACC000115,CUST00115,BR018,Savings,2021-05-10,1003130.66,Active
ACC000116,CUST00116,BR041,Savings,2023-04-25,1101666.26,Active
ACC000117,CUST00117,BR006,Salary,2021-08-04,25435.90,Active
ACC000118,CUST00118,BR046,Savings,2019-03-29,703131.21,Active
ACC000119,CUST00119,BR036,Savings,2022-03-13,143732.74,Active
ACC000120,CUST00120,BR022,Savings,2018-08-08,13864.88,Active
ACC000121,CUST00121,BR038,Current,2017-07-02,697592.54,Active
ACC000122,CUST00122,BR049,Savings,2020-10-27,832524.23,Active
ACC000123,CUST00123,BR015,Savings,2024-05-19,6803.90,Active
ACC000124,CUST00124,BR043,Savings,2017-01-20,1182883.56,Active
ACC000125,CUST00125,BR022,Savings,2022-10-13,13932.04,Active
ACC000126,CUST00126,BR027,Salary,2017-01-14,235373.58,Active
ACC000127,CUST00127,BR026,Savings,2021-04-15,996270.70,Active
ACC000128,CUST00128,BR046,Savings,2024-05-20,120470.81,Active
ACC000129,CUST00129,BR019,Savings,2021-12-12,487183.66,Active
ACC000130,CUST00130,BR029,Current,2020-04-29,2339543.15,Active
ACC000131,CUST00131,BR028,Current,2023-05-02,112263.09,Active
ACC000132,CUST00132,BR040,Current,2022-12-03,149862.45,Active
ACC000133,CUST00133,BR041,Savings,2023-03-01,13271.71,Dormant
ACC000134,CUST00134,BR011,Savings,2019-09-28,26052.66,Active
ACC000135,CUST00135,BR017,Savings,2018-04-29,20647.26,Active
ACC000136,CUST00136,BR037,Savings,2022-12-20,125806.37,Active
ACC000137,CUST00137,BR037,Savings,2023-12-15,406026.15,Active
ACC000138,CUST00138,BR050,Savings,2024-04-15,23735.57,Active
ACC000139,CUST00139,BR044,Savings,2023-08-18,16358.25,Active
ACC000140,CUST00140,BR042,Current,2022-08-13,579931.37,Active
ACC000141,CUST00141,BR019,Current,2020-07-26,786029.83,Inactive
ACC000142,CUST00142,BR018,Savings,2021-11-16,3344151.70,Active
ACC000143,CUST00143,BR030,Salary,2022-07-18,95921.27,Active
ACC000144,CUST00144,BR024,Savings,2018-09-07,5540083.48,Active
ACC000145,CUST00145,BR048,Fixed Deposit,2023-01-02,685370.09,Dormant
ACC000146,CUST00146,BR031,Salary,2022-11-13,8318.82,Active
ACC000147,CUST00147,BR041,Savings,2023-12-19,16857.74,Active
ACC000148,CUST00148,BR003,Savings,2019-03-10,34804.79,Active
ACC000149,CUST00149,BR024,Savings,2024-02-25,4968946.17,Active
ACC000150,CUST00150,BR027,Savings,2021-12-06,2127.82,Inactive
ACC000151,CUST00151,BR014,Savings,2021-09-02,82745.25,Dormant
ACC000152,CUST00152,BR042,Savings,2022-02-22,11344.63,Active
ACC000153,CUST00153,BR014,Savings,2016-09-30,9273.88,Dormant
ACC000154,CUST00154,BR014,Current,2021-08-29,1431361.73,Inactive
ACC000155,CUST00155,BR039,Savings,2024-04-05,17131.13,Active
ACC000156,CUST00156,BR043,Savings,2016-05-20,9778.56,Dormant
ACC000157,CUST00157,BR012,Savings,2024-03-15,1146875.79,Inactive
ACC000158,CUST00158,BR029,Salary,2022-03-23,220915.99,Active
ACC000159,CUST00159,BR047,Salary,2022-10-29,246703.06,Active
ACC000160,CUST00160,BR031,Savings,2023-10-27,45270.17,Active
ACC000161,CUST00161,BR021,Fixed Deposit,2019-07-13,790462.72,Inactive
ACC000162,CUST00162,BR025,Savings,2024-05-09,88134.53,Active
ACC000163,CUST00163,BR042,Fixed Deposit,2024-03-22,494464.06,Active
ACC000164,CUST00164,BR027,Salary,2024-04-09,280665.63,Active
ACC000165,CUST00165,BR043,Salary,2023-10-22,48813.35,Active
ACC000166,CUST00166,BR006,Salary,2024-04-13,210515.37,Active
ACC000167,CUST00167,BR036,Salary,2021-07-02,263117.33,Active
ACC000168,CUST00168,BR019,Fixed Deposit,2017-03-13,1449291.08,Active
ACC000169,CUST00169,BR015,Fixed Deposit,2022-12-01,1944247.76,Active
ACC000170,CUST00170,BR028,Savings,2023-08-12,63692.01,Inactive
ACC000171,CUST00171,BR002,Savings,2024-05-26,118597.01,Active
ACC000172,CUST00172,BR022,Current,2021-12-13,460972.07,Dormant
ACC000173,CUST00173,BR002,Savings,2020-04-08,21635.11,Active
ACC000174,CUST00174,BR020,Salary,2023-05-01,43472.63,Active
ACC000175,CUST00175,BR004,Salary,2022-07-07,47303.66,Active
ACC000176,CUST00176,BR018,Salary,2022-09-08,158996.59,Dormant
ACC000177,CUST00177,BR038,Savings,2023-08-04,111775.00,Active
ACC000178,CUST00178,BR014,Current,2024-02-12,695092.43,Active
ACC000179,CUST00179,BR001,Savings,2021-11-06,1124766.87,Inactive
ACC000180,CUST00180,BR036,Salary,2021-06-24,114902.81,Active
ACC000181,CUST00181,BR030,Savings,2022-09-18,79508.90,Inactive
ACC000182,CUST00182,BR027,Savings,2022-08-26,617599.43,Active
ACC000183,CUST00183,BR024,Savings,2020-03-03,20514.05,Active
ACC000184,CUST00184,BR026,Fixed Deposit,2019-01-04,1409563.60,Active
ACC000185,CUST00185,BR041,Savings,2020-05-03,60271.79,Active
ACC000186,CUST00186,BR010,Savings,2021-07-02,811426.86,Active
ACC000187,CUST00187,BR012,Fixed Deposit,2023-04-14,574719.21,Active
ACC000188,CUST00188,BR037,Current,2023-12-29,4286262.88,Inactive
ACC000189,CUST00189,BR005,Savings,2022-03-10,17866.51,Active
ACC000190,CUST00190,BR005,Fixed Deposit,2024-03-04,69235.53,Dormant
ACC000191,CUST00191,BR040,Savings,2024-04-20,90996.53,Active
ACC000192,CUST00192,BR042,Current,2023-06-15,2854693.37,Active
ACC000193,CUST00193,BR046,Current,2024-03-02,680989.26,Inactive
ACC000194,CUST00194,BR034,Salary,2022-03-18,15733.88,Active
ACC000195,CUST00195,BR039,Salary,2023-06-24,240063.64,Active
ACC000196,CUST00196,BR025,Savings,2022-11-05,16752.77,Active
ACC000197,CUST00197,BR038,Savings,2024-04-22,13084.76,Dormant
ACC000198,CUST00198,BR009,Salary,2021-03-09,239863.30,Active
ACC000199,CUST00199,BR043,Savings,2023-12-22,4441.93,Active
ACC000200,CUST00200,BR028,Fixed Deposit,2021-06-20,1184786.74,Active
ACC000201,CUST00201,BR015,Salary,2023-08-06,281971.93,Active
ACC000202,CUST00202,BR003,Current,2024-01-28,402328.13,Dormant
ACC000203,CUST00203,BR012,Savings,2023-05-08,16372.29,Active
ACC000204,CUST00204,BR027,Savings,2021-02-11,97439.65,Active
ACC000205,CUST00205,BR015,Savings,2024-05-26,15207.02,Active
ACC000206,CUST00206,BR029,Savings,2024-04-04,17473.03,Active
ACC000207,CUST00207,BR039,Savings,2018-12-14,57855.30,Dormant
ACC000208,CUST00208,BR008,Fixed Deposit,2017-11-08,563176.94,Active
ACC000209,CUST00209,BR015,Savings,2019-06-16,24477.55,Active
ACC000210,CUST00210,BR024,Fixed Deposit,2022-09-03,1906498.55,Inactive
ACC000211,CUST00211,BR022,Current,2022-09-04,2923645.43,Active
ACC000212,CUST00212,BR029,Savings,2018-03-21,4780089.67,Active
ACC000213,CUST00213,BR034,Savings,2021-08-05,84255.60,Active
ACC000214,CUST00214,BR041,Savings,2018-06-08,338276.15,Active
ACC000215,CUST00215,BR041,Fixed Deposit,2023-08-19,1637341.33,Inactive
ACC000216,CUST00216,BR016,Savings,2022-07-31,66250.82,Active
ACC000217,CUST00217,BR035,Savings,2024-05-12,109446.70,Inactive
ACC000218,CUST00218,BR025,Fixed Deposit,2023-03-29,949665.68,Dormant
ACC000219,CUST00219,BR041,Savings,2023-08-01,702824.18,Active
ACC000220,CUST00220,BR022,Salary,2024-06-22,338795.43,Dormant
ACC000221,CUST00221,BR009,Savings,2022-11-12,13042.92,Active
ACC000222,CUST00222,BR021,Savings,2021-08-05,132116.26,Inactive
ACC000223,CUST00223,BR049,Savings,2023-09-07,37541.49,Active
ACC000224,CUST00224,BR008,Savings,2021-02-01,2464.32,Active
ACC000225,CUST00225,BR045,Savings,2024-06-25,3390676.23,Active
ACC000226,CUST00226,BR028,Savings,2021-12-07,37461.31,Active
ACC000227,CUST00227,BR043,Savings,2022-05-06,10510.73,Active
ACC000228,CUST00228,BR029,Savings,2021-01-09,11100.34,Active
ACC000229,CUST00229,BR005,Current,2023-02-18,192642.96,Active
ACC000230,CUST00230,BR010,Savings,2024-05-23,10267.59,Active
ACC000231,CUST00231,BR024,Current,2023-11-09,288498.46,Active
ACC000232,CUST00232,BR024,Savings,2021-06-19,4247.25,Active
ACC000233,CUST00233,BR018,Fixed Deposit,2017-01-28,1901128.89,Active
ACC000234,CUST00234,BR008,Savings,2022-11-23,51089.51,Inactive
ACC000235,CUST00235,BR013,Fixed Deposit,2016-06-04,383588.13,Active
ACC000236,CUST00236,BR021,Salary,2018-10-06,91095.18,Active
ACC000237,CUST00237,BR041,Salary,2023-05-06,33793.84,Active
ACC000238,CUST00238,BR002,Fixed Deposit,2019-04-27,1915865.79,Active
ACC000239,CUST00239,BR005,Savings,2023-12-04,19166.28,Inactive
ACC000240,CUST00240,BR005,Savings,2022-08-17,350067.82,Dormant
ACC000241,CUST00241,BR009,Fixed Deposit,2023-08-20,863421.55,Active
ACC000242,CUST00242,BR033,Savings,2022-01-09,21381.63,Active
ACC000243,CUST00243,BR046,Savings,2022-07-22,11216.36,Inactive
ACC000244,CUST00244,BR036,Salary,2023-11-30,121440.81,Active
ACC000245,CUST00245,BR038,Salary,2024-06-16,183786.86,Dormant
ACC000246,CUST00246,BR002,Salary,2022-07-01,278700.38,Active
ACC000247,CUST00247,BR027,Savings,2021-02-15,71136.75,Active
ACC000248,CUST00248,BR031,Savings,2024-01-20,666499.77,Active
ACC000249,CUST00249,BR011,Salary,2021-09-05,98436.95,Active
ACC000250,CUST00250,BR047,Savings,2021-02-23,22841.15,Active
ACC000251,CUST00251,BR021,Current,2023-07-15,162208.50,Active
ACC000252,CUST00252,BR025,Savings,2019-03-04,840822.41,Inactive
ACC000253,CUST00253,BR013,Savings,2024-03-26,80530.64,Active
ACC000254,CUST00254,BR026,Savings,2017-10-05,12241.56,Inactive
ACC000255,CUST00255,BR032,Savings,2023-01-29,7059.15,Dormant
ACC000256,CUST00256,BR028,Savings,2024-03-10,414154.13,Active
ACC000257,CUST00257,BR004,Savings,2023-07-13,13369.22,Active
ACC000258,CUST00258,BR049,Current,2023-06-29,153538.80,Active
ACC000259,CUST00259,BR024,Savings,2022-11-05,70323.70,Dormant
ACC000260,CUST00260,BR033,Savings,2016-01-08,11969.78,Active
ACC000261,CUST00261,BR030,Savings,2022-01-31,133016.84,Active
ACC000262,CUST00262,BR040,Savings,2022-07-18,12406.93,Inactive
ACC000263,CUST00263,BR020,Fixed Deposit,2021-09-23,1827604.12,Active
ACC000264,CUST00264,BR047,Salary,2015-11-28,313880.99,Active
ACC000265,CUST00265,BR015,Savings,2020-08-21,97999.67,Inactive
ACC000266,CUST00266,BR010,Savings,2021-05-02,24746.15,Inactive
ACC000267,CUST00267,BR029,Salary,2019-12-21,188580.37,Inactive
ACC000268,CUST00268,BR048,Savings,2016-09-16,92464.63,Active
ACC000269,CUST00269,BR034,Salary,2024-03-21,63098.87,Active
ACC000270,CUST00270,BR044,Current,2023-10-01,114783.73,Active
ACC000271,CUST00271,BR013,Current,2019-07-13,404426.28,Inactive
ACC000272,CUST00272,BR014,Current,2020-04-03,147820.44,Inactive
ACC000273,CUST00273,BR008,Fixed Deposit,2023-06-11,426081.54,Active
ACC000274,CUST00274,BR003,Savings,2019-12-02,7599.79,Active
ACC000275,CUST00275,BR014,Current,2020-01-13,329340.06,Active
ACC000276,CUST00276,BR040,Savings,2020-09-22,2421.85,Dormant
ACC000277,CUST00277,BR004,Fixed Deposit,2023-08-09,1290198.63,Active
ACC000278,CUST00278,BR036,Salary,2024-06-08,24294.83,Active
ACC000279,CUST00279,BR049,Current,2023-06-20,2706514.43,Active
ACC000280,CUST00280,BR015,Salary,2023-11-20,284091.55,Active
ACC000281,CUST00281,BR026,Fixed Deposit,2024-06-16,61340.84,Inactive
ACC000282,CUST00282,BR037,Savings,2022-04-08,114321.08,Dormant
ACC000283,CUST00283,BR009,Salary,2022-05-13,100192.29,Active
ACC000284,CUST00284,BR042,Savings,2022-02-25,20326.45,Active
ACC000285,CUST00285,BR012,Current,2024-02-25,320823.03,Active
ACC000286,CUST00286,BR043,Savings,2021-09-06,1197676.80,Active
ACC000287,CUST00287,BR016,Savings,2019-04-04,22633.43,Dormant
ACC000288,CUST00288,BR042,Savings,2021-02-07,6824.27,Active
ACC000289,CUST00289,BR044,Savings,2023-05-03,13741.99,Active
ACC000290,CUST00290,BR024,Savings,2020-08-26,145257.02,Active
ACC000291,CUST00291,BR027,Savings,2022-02-15,83514.38,Active
ACC000292,CUST00292,BR049,Savings,2019-12-21,803480.05,Active
ACC000293,CUST00293,BR037,Savings,2021-04-12,1810442.48,Active
ACC000294,CUST00294,BR011,Savings,2023-07-01,23275.63,Active
ACC000295,CUST00295,BR006,Savings,2024-04-10,75895.73,Active
ACC000296,CUST00296,BR004,Savings,2024-03-08,101468.98,Active
ACC000297,CUST00297,BR038,Salary,2019-05-29,134538.49,Active
ACC000298,CUST00298,BR003,Savings,2023-11-25,235001.32,Active
ACC000299,CUST00299,BR024,Savings,2020-05-20,62134.65,Active
ACC000300,CUST00300,BR042,Savings,2021-10-29,2627905.77,Active
ACC000301,CUST00301,BR001,Current,2020-07-13,35504.76,Active
ACC000302,CUST00302,BR025,Savings,2022-07-10,14694.24,Active
ACC000303,CUST00303,BR003,Fixed Deposit,2022-12-18,1417418.68,Active
ACC000304,CUST00304,BR007,Savings,2023-06-08,2295672.02,Active
ACC000305,CUST00305,BR026,Savings,2017-07-10,126306.22,Active
ACC000306,CUST00306,BR019,Savings,2024-01-01,121064.54,Active
ACC000307,CUST00307,BR016,Savings,2023-02-16,407416.82,Inactive
ACC000308,CUST00308,BR036,Savings,2020-05-12,126472.57,Dormant
ACC000309,CUST00309,BR023,Savings,2024-04-28,13643.51,Active
ACC000310,CUST00310,BR020,Fixed Deposit,2023-10-03,427387.45,Active
ACC000311,CUST00311,BR030,Salary,2023-12-21,186422.06,Active
ACC000312,CUST00312,BR016,Savings,2022-05-16,28692.82,Active
ACC000313,CUST00313,BR047,Savings,2018-07-29,83339.07,Active
ACC000314,CUST00314,BR013,Savings,2023-10-31,838946.52,Inactive
ACC000315,CUST00315,BR020,Savings,2019-01-30,106271.40,Active
ACC000316,CUST00316,BR045,Savings,2023-10-17,74868.43,Active
ACC000317,CUST00317,BR030,Savings,2018-12-26,9166.29,Active
ACC000318,CUST00318,BR047,Savings,2018-11-07,11712.66,Active
ACC000319,CUST00319,BR037,Savings,2023-06-28,16021.81,Active
ACC000320,CUST00320,BR019,Savings,2020-07-17,723371.80,Active
ACC000321,CUST00321,BR044,Savings,2023-06-15,196752.37,Active
ACC000322,CUST00322,BR011,Savings,2021-07-26,546004.01,Active
ACC000323,CUST00323,BR042,Savings,2017-11-18,33780.53,Inactive
ACC000324,CUST00324,BR009,Current,2020-05-31,3167884.71,Dormant
ACC000325,CUST00325,BR024,Current,2023-04-30,165792.77,Active
ACC000326,CUST00326,BR001,Savings,2017-01-26,23213.96,Active
ACC000327,CUST00327,BR002,Savings,2024-01-12,1192601.65,Active
ACC000328,CUST00328,BR010,Savings,2024-06-21,4263.91,Active
ACC000329,CUST00329,BR024,Fixed Deposit,2019-01-25,1689426.32,Active
ACC000330,CUST00330,BR042,Savings,2016-11-23,8212.31,Active
ACC000331,CUST00331,BR004,Savings,2023-01-10,997560.17,Dormant
ACC000332,CUST00332,BR007,Savings,2016-12-27,63613.48,Inactive
ACC000333,CUST00333,BR003,Savings,2018-04-18,66506.63,Active
ACC000334,CUST00334,BR021,Savings,2024-04-21,13752.95,Active
ACC000335,CUST00335,BR011,Current,2021-01-17,367165.23,Active
ACC000336,CUST00336,BR045,Current,2024-02-29,1399463.69,Inactive
ACC000337,CUST00337,BR005,Savings,2022-08-23,3004.44,Active
ACC000338,CUST00338,BR041,Savings,2022-07-05,140977.06,Active
ACC000339,CUST00339,BR012,Current,2023-10-07,498654.27,Active
ACC000340,CUST00340,BR006,Savings,2023-09-09,592331.22,Active
ACC000341,CUST00341,BR024,Savings,2022-07-01,823496.32,Active
ACC000342,CUST00342,BR006,Savings,2021-09-09,129054.12,Active
ACC000343,CUST00343,BR023,Savings,2022-10-28,306078.26,Inactive
ACC000344,CUST00344,BR025,Current,2021-06-23,432060.71,Active
ACC000345,CUST00345,BR044,Savings,2019-03-17,11882.86,Active
ACC000346,CUST00346,BR028,Fixed Deposit,2021-10-28,125550.66,Active
ACC000347,CUST00347,BR032,Savings,2023-01-16,131776.44,Active
ACC000348,CUST00348,BR040,Salary,2020-06-12,282516.09,Active
ACC000349,CUST00349,BR020,Fixed Deposit,2023-09-05,402750.99,Active
ACC000350,CUST00350,BR019,Savings,2024-04-15,1087563.96,Active
ACC000351,CUST00351,BR026,Savings,2022-06-08,566678.73,Active
ACC000352,CUST00352,BR002,Savings,2024-03-13,3359.71,Active
ACC000353,CUST00353,BR044,Salary,2019-06-10,78622.66,Active
ACC000354,CUST00354,BR025,Savings,2022-02-12,2045489.72,Inactive
ACC000355,CUST00355,BR027,Fixed Deposit,2020-06-21,528138.79,Active
ACC000356,CUST00356,BR007,Salary,2023-08-12,121758.89,Inactive
ACC000357,CUST00357,BR042,Current,2023-12-09,357922.51,Dormant
ACC000358,CUST00358,BR017,Current,2022-04-17,797379.49,Active
ACC000359,CUST00359,BR024,Savings,2024-02-28,87316.62,Active
ACC000360,CUST00360,BR031,Savings,2024-03-31,6307.78,Active
ACC000361,CUST00361,BR022,Salary,2021-02-13,283009.11,Active
ACC000362,CUST00362,BR029,Savings,2018-07-28,4210455.75,Dormant
ACC000363,CUST00363,BR007,Savings,2023-09-11,4923389.37,Active
ACC000364,CUST00364,BR036,Savings,2022-09-20,143587.49,Active
ACC000365,CUST00365,BR043,Savings,2024-06-20,285952.65,Active
ACC000366,CUST00366,BR025,Fixed Deposit,2022-09-12,343162.62,Active
ACC000367,CUST00367,BR035,Current,2020-07-11,666806.90,Active
ACC000368,CUST00368,BR041,Savings,2023-07-11,94879.55,Active
ACC000369,CUST00369,BR040,Savings,2023-08-23,5016.09,Dormant
ACC000370,CUST00370,BR009,Fixed Deposit,2018-12-27,1936647.06,Active
ACC000371,CUST00371,BR025,Savings,2021-11-05,2040.59,Active
ACC000372,CUST00372,BR045,Savings,2020-11-15,272825.21,Active
ACC000373,CUST00373,BR021,Savings,2018-07-29,640768.03,Inactive
ACC000374,CUST00374,BR025,Salary,2021-10-06,29534.90,Active
ACC000375,CUST00375,BR032,Savings,2022-03-10,1129604.81,Active
ACC000376,CUST00376,BR015,Salary,2023-10-13,261137.21,Active
ACC000377,CUST00377,BR033,Fixed Deposit,2019-05-22,354291.25,Active
ACC000378,CUST00378,BR035,Savings,2017-04-11,1930505.39,Active
ACC000379,CUST00379,BR003,Savings,2018-12-02,146834.66,Dormant
ACC000380,CUST00380,BR048,Savings,2023-02-18,28532.41,Active
ACC000381,CUST00381,BR014,Current,2017-02-15,73103.75,Active
ACC000382,CUST00382,BR011,Current,2020-07-19,1365813.62,Dormant
ACC000383,CUST00383,BR009,Current,2016-04-02,469207.61,Active
ACC000384,CUST00384,BR016,Savings,2023-07-29,13471.43,Inactive
ACC000385,CUST00385,BR037,Salary,2020-09-26,139137.05,Active
ACC000386,CUST00386,BR033,Salary,2020-10-27,129872.28,Active
